นิติบุคคลจัดตั้งเดือนเมษายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน", ทุนจดทะเบียน ,รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
42,0105558073101,บจ.คิเซกิ กรีน เมทัลส์ รีไฟน์นิ่ง จำกัด,30/4/2558," 10,000,000 ",ประกอบกิจการโรงงานรีไซเคิลแบตเตอรี่,46/2-3 ถนนปั้น  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
43,0105558067313,บจ.พันไมตรี จำกัด,22/4/2558," 8,100,000 ",การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เป็นที่พัก,17/2 ถนนประดิพัทธ์  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
44,0105558065256,บจ.555 วอช จำกัด,17/4/2558," 6,020,000 ",ประกอบกิจการซัก อบ รีด เสื้อผ้าและเครื่องนุ่งห่มทุกชนิด,25 ซอยรามคำแหง 60/5  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
45,0105558058845,บจ.เบค แอนด์ เชียร์ จำกัด,2/4/2558," 5,000,000 ",บริการจัดอาหารและเครื่องดื่ม รวมถึงไอศกรีมและเบเกอรี่,319 ถนนจรัญสนิทวงศ์  แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700
46,0105558063148,บจ.อินฟินิตี้ ทิมเบอร์ จำกัด,9/4/2558," 5,000,000 ",ประกอบกิจการค้าส่งค้าปลีกไม้สินค้าประเภทเฟอร์นิเจอร์ทุกชนิด,795 ถนนประชาราษฎร์ 1  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800
47,0105558062753,บจ.รูมแอทเดอะมูน จำกัด,9/4/2558," 5,000,000 ",ก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย ตึกแถว สถานที่ออกกำลังกาย งานก่อสร้างทุกชนิด เพื่อให้เช่,71/14 ซอยท่านผู้หญิงพหล  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900
48,0105558064501,บจ.เรโนวาเร่ เอนเนอร์ยี จำกัด,16/4/2558," 5,000,000 ",ประกอบกิจการสั่งเข้ามาจำหน่ายในประเทศ เครื่องกำเนิดไฟฟ้า เครื่องจักร,22 ซอยพหลโยธิน 24 แยก 6 ถนนพหลโยธิน  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
49,0105558066937,บจ.เอทูอี โปร จำกัด,21/4/2558," 5,000,000 ",ประกอบกิจการรับติดตั้ง วางแผน และออกแบบ เกี่ยวกับระบบกำจัดขยะทั้งที่เป็นของแข็งและของเหลว ขยะติดเชื้,5/131 (บ้านกลางเมือง ซอย 5) ถนนเทศบาลสงเคราะห์  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900
50,0105558070497,บจ.ซาจิตต้า อาคีเทค จำกัด,27/4/2558," 5,000,000 ",รับออกแบบสถาปัตยกรรม วิศวกรรมโยธา วิศวกรรมระบบไฟฟ้า,328 ซอยเฉลิมสุข  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900
51,0105558071795,บจ.ไท่หลิงทงฮอลิเดย์ จำกัด,29/4/2558," 5,000,000 ",ประกอบกิจการนำเที่ยว รวมทั้งธุรกิจที่เกี่ยวข้องกับการนำเที่ยวทุกชนิด,1111/32 ชั้นที่ 3 ถนนลาดพร้าว  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900
52,0105558057784,บจ.รักดี แอสเซท จำกัด,1/4/2558," 5,000,000 ",ประกอบกิจการให้เช่าอาคาร,248 ถนนวานิช 1  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
53,0105558058659,บจ.ทริปเปิล เอส โฮม จำกัด,2/4/2558," 5,000,000 ",ประกอบกิจการให้เช่าอาคาร,250 ถนนวานิช 1  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
54,0105558057563,บจ.ไทย ยาซากิ เน็ตเวิร์ค เซอร์วิส จำกัด,1/4/2558," 5,000,000 ",ค้าส่งค้าปลีก นำเข้าส่งออก ติดตั้ง เช่า ให้เช่า ซ่อมแซม อุปกรณ์ฮาร์ดแวร์และซอร์ฟแวร์ระบบเทคโนโลยีส,142 อาคารทูแปซิฟิคเพลส ชั้นที่ 27 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
55,0105558058225,บจ.สเตรติจิก แอสเสท โกลบอล จำกัด,2/4/2558," 5,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า และคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ทั้งในประเทศและระหว่างประเทศ,18 ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
56,0105558058292,บจ.ไทยซุปเปอร์สตีลโปรดักส์ จำกัด,2/4/2558," 5,000,000 ",ซื้อขายผลิตเหล็กทุกชนิด,1019/3 ถนนริมทางรถไฟสายช่องนนทรี  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
57,0105558059841,บจ.ทะเลงามภูเก็ต จำกัด,3/4/2558," 5,000,000 ",ธุรกิจอสังหาริมทรัพย์ทุกประเภท,170/61 ซอยสุขุมวิท 16 (สามมิตร) ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
58,0105558062451,บจ.ไอยรา วีซี จำกัด,9/4/2558," 5,000,000 ",เข้าเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,38 ซอยสุขุมวิท 22  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
59,0105558063784,บจ.เบเวอรี่ สวีทส์ จำกัด,10/4/2558," 5,000,000 ",ประกอบกิจการให้เช่าห้องคอนโดทุกประเภท,11/15 ซอยสุขุมวิท 33 (แดงอุดม)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
60,0105558066503,บจ.ณุศา ศรีราชา คอนโดเทล จำกัด,20/4/2558," 5,000,000 ",ประกอบกิจกรซื้อขาย โอน รับโอน จัดสรรที่ดิน เช่า หรือให้เช่า ที่ดินพร้อมสิ่งปลูกสร้าง โรงแรม คอนโด,29 อาคารบางกอกบิสซิเนส เซ็นเตอร์ ชั้นที่ 30 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
61,0105558068956,บจ.ซิลเวอร์สปริงค์อินเตอร์เนชั่นแนล จำกัด,23/4/2558," 5,000,000 ",ประกอบกิจการให้บริการด้านสุขภาพ ผิวพรรณ สปา เสริมความงาม คลีนิคเวชกรรม กายภาพบำบัด,160/5-6 ซอยสุขุมวิท 55 (ทองหล่อ) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
62,0105558069529,บจ.ฟิฟทีน พร๊อพเพอตี้ จำกัด,24/4/2558," 5,000,000 ",โรงแรม รีสอร์ทและห้องชุด,47 ซอยสุขุมวิท 15 (ร่วมใจ)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
63,0105558071957,บจ.พิมวิสุทธิ์ เอสเตท จำกัด,29/4/2558," 5,000,000 ",การเช่าและดำเนินการเกี่ยวกับอสังหาริมทรัพย์,14 ซอยพร้อมศักดิ์ สุขุมวิท 39  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
64,0105558071965,บจ.พลอยภัทร พร็อพเพอร์ตี้ จำกัด,29/4/2558," 5,000,000 ",การเช่าและดำเนินการเกี่ยวกับอสังหาริมทรัพย์,6 ซอยพร้อมศักดิ์ สุขุมวิท 39  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
65,0105558072295,บจ.จุดตั้งต้น จำกัด,29/4/2558," 5,000,000 ",ประกอบกิจการเป็นหุ้นส่วนจำกัด ความรับผิดชอบในห้างหุ้นส่วน,50 อาคารจีเอ็มเอ็ม แกรมมี่ เพลส ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
66,0105558072546,บจ.ณุศา สเตท ทาวเวอร์ จำกัด,29/4/2558," 5,000,000 ",ประกอบกิจการซื้อ ขาย โอน รับโอน จัดสรรที่ดิน เช่าหรือให้เช่า ที่ดินพร้อมสิ่งปลูกสร้างอาคาร อาคารชุด,29 อาคารบางกอกบิสซิเนส เซ็นเตอร์ ชั้นที่ 30 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
67,0105558073801,บจ.แบรนสัน (ประเทศไทย) จำกัด,30/4/2558," 5,000,000 ",การบริการอื่นๆเพื่อสนับสนุนธุรกิจซึ่งมิได้จัดประเภทไว้ ในที่อื่น,46 ซอยนภาศัพท์ แยกที่ 1    แขวงคลองตัน   เขตคลองเตย   กรุงเทพมหานคร 10110
68,0105558065582,บจ.เอเซีย คิง จำกัด,17/4/2558," 5,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า ทางบก ทางน้ำ ทางอากาศ ภายในประเทศและต่างประเทศ,1747/17 ซอยนางลิ้นจี่ 6 ถนนจันทน์  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
69,0105558069600,บจ.คอนเนค โฮลดิ้ง จำกัด,24/4/2558," 5,000,000 ",ประกอบกิจการสำนักงานให้เช่า,42 ซอยนราธิวาสราชนครินทร์ 10  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120
70,0105558069669,บจ.อารี56 จำกัด,24/4/2558," 5,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์ ซื้อขายที่ดิน จัดสรรที่ดิน ก่อสร้างบ้าน เพื่อจำหน่าย,33/36 ถนนจันทน์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
71,0105558065396,บจ.พาราไดซ์ แลนด์ คอร์ปอเรชั่น จำกัด,17/4/2558," 5,000,000 ",ประกอบกิจการจำหน่าย นำเข้าส่งออก สินค้าประเภทเครื่องสำอาง และอุปกรณ์เสริมความงาม,527/9 หมู่บ้านแพลทินั่ม ทาวน์โฮม ถนนประชาอุทิศ  แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140
72,0105558073542,บจ.เอเชี่ยนคราวด์ (ประเทศไทย) จำกัด,30/4/2558," 5,000,000 ",นำข้า ส่งออก จำหน่ายสินค้าประเภทสิ่งทอ และเส้นด้าย,99/1 ซอยประชาอุทิศ 33  แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140
73,0105558073569,บจ.กรีน ไจแอนท์ จำกัด,30/4/2558," 5,000,000 ",ประกอบกิจการผลิตอุตสาหกรรมการเกษตร ขายส่งและส่งออกอาหารสำเร็จรูป,37 ซอยประชาอุทิศ 75  แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140
74,0103558007661,หจ.เจเคพี อินฟินิตี้,3/4/2558," 5,000,000 ",ประกอบกิจการให้บริการติดตั้งอุปกรณ์ไฟฟ้าและเครื่องใช้ไฟฟ้าทุกชนิดติดตั้งและวางระบบสุขาภิบาล,117/38 หมู่ที่ 2  แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150
75,0105558057270,บจ.ซี ทู บี คอนสตรัคชั่น จำกัด,1/4/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง ออกแบบและตกแต่งภายใน,20 ซอยท่าข้าม 28  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
76,0105558058900,บจ.จี.ซี.เอส. กรุ๊ป จำกัด,2/4/2558," 5,000,000 ",ประกอบกิจการโรงเรียนเอกชน,448 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
77,0105558065621,บจ.เซียนเกิน อกรีคัลเจอร์ ดีเวลลอปเม้นท์ จำกัด,17/4/2558," 5,000,000 ",ประกอบกิจการนำเข้าส่งออก ขายส่งพืชผักผลไม้ทุกชนิด,619/223 ถนนอนามัยงามเจริญ  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
