นิติบุคคลจัดตั้งเดือนกุมภาพันธ์  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์เดิม,ที่ตั้งสำนักงานใหญ่
41,0105558036957,บจ.สกายเมทัล จำกัด,27/2/2558," 10,000,000 ",ประกอบกิจการซื้อมาขายไป ผลิต และจำหน่าย เศษเหล็ก อลูมิเนียม สังกะสี และเศษวัสดุ,7/15 ซอยกาญจนาภิเษก 003  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
42,0105558023936,บจ.ไวส์ บิวเดอร์ จำกัด,6/2/2558," 10,000,000 ",รับเหมาก่อสร้างบ้าน,99/33 ถนนแจ้งวัฒนะ  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
43,0105558024665,บจ.เอเจพี พาวเวอร์ จำกัด,9/2/2558," 10,000,000 ",ผลิต การส่ง การจ่าย กระแสไฟฟ้า การผลิตพลังงานไฟฟ้าจากพลังหมุนเวียน,22/1 โครงการเวิร์คเพลส 2 ถนนรัขดา-รามอินทรา  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230
44,0105558024720,บจ.เอเจพี อินฟอร์เมชั่น เทคโนโลยี จำกัด,9/2/2558," 10,000,000 ",ประกอบกิจการให้คำปรึกษา ซื้อขาย เช่าหรือให้เช่า ผลิต นำเข้า สนับสนุนทางเทคนิค ด้านฮาร์ดแวซอฟต์แวร์,22/1 โครงการเวิร์คเพลส 2 ถนนรัชดา-รามอินทรา  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230
45,0105558031424,บจ.ซี.ที.เฟรนด์ชิพ คอร์ปอเรชั่น จำกัด,18/2/2558," 10,000,000 ",ประกอบกิจการนำเข้าและส่งออกสินค้าประเภทเครื่องอุปโภคและบริโภคทุกชนิดทุกประเภท,221/7 ถนนสวนสยาม  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230
46,0105558034130,บจ.โปรมาร์ท จำกัด,23/2/2558," 10,000,000 ",ค้าเครื่องใช้ส่วนตัว เครื่องใช้ในครัวเรือน เครื่องอุปโภค,3498 ชั้น 2 ถนนลาดพร้าว  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
47,0105558037325,บจ.เมอริท แคปปิตอล แอ๊ดไวเซอรี่ จำกัด,27/2/2558," 10,000,000 ",ประกอบกิจการเป็นที่ปรึกษาทางการเงิน,123 ถนนกาญจนาภิเษก  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
48,0105558023448,บจ.เอส โฮม168 จำกัด,6/2/2558," 10,000,000 ",ขายปลีกสินค้าในห้างสรรพสินค้า,125/4 ซอยเทวีวรญาติ ถนนยุคล 2  แขวงวัดเทพศิรินทร์ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
49,0105558036019,บจ.ไฟว์ เอฟ แคปปิตอล จำกัด,26/2/2558," 10,000,000 ",ประกอบกิจการให้คำแนะนำ คำปรึกษาเกี่ยวกับธุรกิจ ทั้งในประเทศและต่างประเทศ,193/36 อาคารเลค รัชดา ออฟฟิศคอมเพล็กซ์ ยูนิตบี ชั้นที่ 10 ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
50,0105558036299,บจ.มิตซูบิชิ แมททีเรียล เซาท์อีส เอเชีย จำกัด,26/2/2558," 10,000,000 ",ให้บริการกำกับดูแลและหรือการให้บริการบริษัทในเครือในด้านต่างๆ,191/38 อาคารซีทีไอ ทาวเวอร์ ชั้นที่ 22 ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
51,0105558026609,บจ.บิลเลี่ยน รีนิวเอเบิล เอนเนอร์จี้ จำกัด,11/2/2558," 10,000,000 ","ประกอบกิจการผลิตและจำหน่ายกระแสไฟฟ้าจากพลังงานแสงอาทิตย์,ถ่านหิน,ปุ๋ยชีวมวล,ลม,น้ำและพลังงานทดแทน",483/2 ถนนพระรามที่ 3  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120
52,0105558025971,บจ.สวัสดีโสภณพิชิต จำกัด,11/2/2558," 9,000,000 ",ค้า เครื่องแต่งกาย เครื่องประดับ เครื่องหนัง รองเท้า กระเป๋า เสื้อผ้าสำเร็จรูป,319/1 ซอยสุขุมวิท 31 (สวัสดี) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
53,0105558027486,บจ.เดลิเวอรี (ไทยแลนด์) จำกัด,12/2/2558," 8,000,000 ",ค้าปลีกออนไลน์,555/62-63 เอสเอสพี ทาวเวอร์ 1 ชั้น 22 ถนนสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
54,0105558028792,บจ.วีว่าทเวนตี้วัน จำกัด,13/2/2558," 8,000,000 ",ประกอบกิจการขายอาหารและเครื่องดื่ม มีดนตรีคาร์บาเร่,387 ซอยสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
55,0105558027907,บจ.รวมโชคชัย2015 จำกัด,12/2/2558," 7,625,000 ",ประกอบกิจการค้า เช่า ให้เช่า รวมทั้งพัฒนาและจัดสรร อสังหาริมทรัพย์ทุกประเภท,326/1 ถนนอ่อนนุช  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
56,0105558034261,บจ.14 ออโต้เฮ้าส์ จำกัด,23/2/2558," 7,000,000 ",ประกอบกิจการนำเข้า ขายส่ง ขายปลีก และเป็นตัวแทนนายหน้าจำหน่ายยานยนต์โดยสารทั้งหมดเช่น รถเก๋ง,568/1-4 ถนนพระรามที่ 2  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150
57,0105558031939,บจ.แดยัง-ไทย จำกัด,19/2/2558," 6,000,000 ",ขายอาหาร เครื่องดื่ม,600/28 ซอยรามคำแหง 39 (เทพลีลา 1) ถนนรามคำแหง  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
58,0105558035250,บจ.มินาโมโตะ คิทโชอัน (ไทยแลนด์) จำกัด,25/2/2558," 6,000,000 ",ออกแบบ ผลิต จำหน่าย นำเข้าส่งออก สาธิตการทำ ขนมทุกประเภท เช่น ขนมญี่ปุ่น  ขายอาหารและเครื่องดื่ม,598 อาคารคิวเฮ้าส์ เพลินจิต ชั้นที่ 6 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
59,0105558029888,บจ.พรีไซส์ แมนูแฟคเจอริ่ง จำกัด,17/2/2558," 6,000,000 ",ผลิต ปรับแต่ง ออกแบบ ส่งออก จำหน่ายอุปกรณ์ ชิ้นส่วน ส่วนประกอบแฟชั่นของผลิตภัณฑ์โทรศัพท์มือถือ,152 อาคารชาร์เตอร์ สแควร์ ชั้น 17 ยูนิต 17-07 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
60,0105558035012,บจ.โมริ ฮะมะดะ แอนด์ มัตสุโมโตะ (ประเทศไทย) จำกัด,24/2/2558," 6,000,000 ",ประกอบกิจการให้คำปรึกษาแนะนำให้บริการและหรือเข้าบริหารหรือดำเนินการให้แก่บุคคล นิติบุคคลทั่วไป,20 อาคารบุปผจิต ชั้น 16 ยูนิต 16เอ1 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
61,0105558037376,บจ.แอล.วาย. คอมเมอร์เชียล จำกัด,27/2/2558," 6,000,000 ",ประกอบกิจการค้ารับจ้างออกแบบผลิตตามแบบประเภทชิ้นส่วนสำหรับงานอุตสาหกรรม,1 ซอยสวนสยาม 8  แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230
62,0105558025831,บจ.อาร์แอลที อินสทรูเม้นเตชั่น จำกัด,10/2/2558," 6,000,000 ",ประกอบกิจการจำหน่าย เครื่องมือเครื่องใช้ อุปกรณ์ใช้สอยเกี่ยวกับน้ำและอื่นๆเช่นเครื่องวัดแรงดันของน้ำ,6/4 ซอยอ่อนนุช 74/1 แยก 1 ถนนอ่อนนุช  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
63,0105558030088,บจ.ปาร์ค 2 โก จำกัด,17/2/2558," 5,000,000 ",ประกอบกิจการจำหน่าย ติดตั้งและซ่อมบำรุง เครื่องจอดรถยนต์ ลิฟท์ยกรถยนต์,251 ถนนพาณิชยการธนบุรี  แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600
64,0105558019921,บจ.บ้าน ณ ลาดกระบัง จำกัด,2/2/2558," 5,000,000 ",ประกอบกิจการค้าอสังหาริมทรัพย์ อันได้แก่ อาคารชุด คอนโดมิเนียม อาคารสำนักงาน อาคารทาวเฮ้าส์ ฯลฯ,34/1 ซอยจรัญสนิทวงศ์ 63  แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700
65,0105558032421,บจ.เอสเค แอดวานซ์ เอ็นเนอร์ยี่ จำกัด,19/2/2558," 5,000,000 ","รับประมูล, จัดซื้อ, จัดจ้าง กับหน่วยงานภาครัฐ, เอกชน รับเหมาการทำลายขยะ, ขนขยะ, ผลิตไฟฟ้าจากพลังงาน,",829/30 ถนนประชาชื่น  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800
66,0105558035292,บจ.โกลบอลเฮ้าส์ อินเตอร์เนชั่นแนล จำกัด,25/2/2558," 5,000,000 ",กิจกรรมของบริษัทโฮลดิ้ง,1 ถนนปูนซิเมนต์ไทย  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800
67,0105558022077,บจ.โบนันซ่ายู (ประเทศไทย) จำกัด,4/2/2558," 5,000,000 ",ประกอบกิจการค้า นำเข้า จำหน่ายสินค้าเครื่องสำอางค์ทุกชนิด สินค้าเพื่อความงามอุปกรณ์ต่างๆ,3300/91 ชั้น 16 ตึกช้าง อาคารบี ถนนพหลโยธิน  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
68,0103558002821,หจ.บุญบรรเลงรีสอร์ท,3/2/2558," 5,000,000 ",บริการที่พักตากอากาศ ขายอาหารและเครื่องดื่ม รวมทั้งกิจกรรมทุกชนิดที่เกี่ยวข้องกับรีสอร์ท,219 ซอยลาดพร้าว 63 (สุขสันต์ 3)  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310
69,0105558020139,บจ.พีเคพีดับบลิว แอสเสท กรุ๊ป (ไทยแลนด์) จำกัด,2/2/2558," 5,000,000 ",ประกอบกิจการบริการทางด้านกฎหมาย ทางบัญชี การเงิน ทางวิศวกรรม ทางสถาปัตยกรรม รวมทั้งกิจการโฆษณา,275 ถนนประดิษฐ์มนูธรรม  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
70,0105558025947,บจ.พีซีจี เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด,11/2/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ,719 อาคารเคพีเอ็นทาวเวอร์ ชั้นที่ 15 โซนบี 2 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
71,0105558020902,บจ.วู้ดเพลเลทสยาม จำกัด,3/2/2558," 5,000,000 ",การเลื่อย การไสไม้และการแปรรูปไม้ด้วยเครื่องจักร การฝาน การปอก,999/9 อาคารดิออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้น 45 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
72,0105558021178,บจ.สวัสดี ซีเพลน จำกัด,4/2/2558," 5,000,000 ",บริการรับ-ส่ง ผู้โดยสาร เช่าเหมาลำ เดินทางทางอากาศ (AIR TAXI),88 ซอยรองเมือง 2  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330
