นิติบุคคลจัดตั้งเดือนมิถุนายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
11 ,0105558097441,บจ.บีทีเอส แสนสิริ โฮลดิ้ง ทรี จำกัด,16/6/2558," 100,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
12 ,0105558097433,บจ.บีทีเอส แสนสิริ โฮลดิ้ง โฟร์ จำกัด,16/6/2558," 100,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
13 ,0105558097484,บจ.บีทีเอส แสนสิริ โฮลดิ้ง ซิกซ์ จำกัด,16/6/2558," 100,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
14 ,0105558097450,บจ.บีทีเอส แสนสิริ โฮลดิ้ง ไฟฟ์ จำกัด,16/6/2558," 100,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
15 ,0105558100752,บจ.โปรเจค กรีน จำกัด,19/6/2558," 100,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,88 ซอยกลาง (สุขุมวิท 49) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
16 ,0105558090994,บจ.สยามมารีน ลิสซิ่ง จำกัด,4/6/2558," 100,000,000 ",ประกอบกิจการให้เช่าทรัพย์แบบลิสซิ่ง การเช่าซื้อ การขายด้วยระบบเงินผ่อน หรือเงินเชื่อ,169 ซอยประชาอุทิศ 33 แยก 6  แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140
17 ,0105558103654,บจ.มาสเตอร์เวลธ์ โฮลดิ้ง จำกัด,25/6/2558," 70,000,000 ",ประกอบกิจการลงทุนถือหุ้นในธุรกิจ,240/40 อาคารอโยธยาทาวเวอร์ ชั้น 20 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
18 ,0107558000270,บมจ.เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน),5/6/2558," 65,000,000 ",ประกอบกิจการเป็นนายหน้าของการประกันวินาศภัย,388 อาคารไอบีเอ็ม ชั้นที่ 16 บี ถนนพหลโยธิน  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
19 ,0105558093535,บจ.อินทิเกรทเต็ดโซล่าร์ จำกัด,9/6/2558," 61,000,000 ",จำหน่าย ติดตั้ง ควบคุม ผลิต รับซื้อ จัดส่ง กระแสไฟฟ้าที่ผลิตพลังงานทดแทนจากแสงอาทิตย์,75/34 อาคารโอเชี่ยนทาวเวอร์ 2 ชั้นที่ 20 ซอยสุขุมวิิท 19 (วัฒนา) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
20 ,0105558106173,บจ.ควายทอง มอเตอร์ จำกัด,30/6/2558," 50,000,000 ",ประกอบกิจการผลิต จำหน่าย นำเข้าส่งออก ซ่อมแซม รถยนต์ ยานพาหนะ,90 อาคารไซเบอร์เวิร์ลด ห้องเอ 3602 ชั้น 36 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
21 ,0105558098278,บจ.บุญถาวร ไลฟ์สไตล์ เฟอร์นิเจอร์ จำกัด,17/6/2558," 50,000,000 ",ประกอบกิจการค้าเฟอร์นิเจอร์ ของตกแต่งบ้าน,"400,400/1-6 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310"
22 ,0105558090277,บจ.หะรินกรุ๊ป จำกัด,3/6/2558," 50,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,54 อาคารหะรินธร ชั้นที่ 7 ห้องเลขที่ 7 ดี ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
23 ,0105558096551,บจ.ไบโอ อีควอไลซ์ จำกัด,15/6/2558," 50,000,000 ",ประกอบกิจการบริการ วิจัย วิเคราะห์ ตรวจสอบ วินิจฉัยทางโลหิตวิทยา เคมีคลีนิค บริการศึกษาวิจัยวิเคราะ,2/10 ซอยพระรามเก้า 43 (ถนนเสรี4)  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
24 ,0105558100531,บจ.อีสเทิร์น เอฟแอนด์บี จำกัด,19/6/2558," 30,000,000 ",ประกอบกิจการผลิตและจำหน่ายเครื่องมือเครื่องใช้เกี่ยวกับจักรยาน อะไหล่ และอุปกรณ์ต่างๆ,234/19-20 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
25 ,0107558000288,บมจ.เอเอ็มอี เทคโนโลยี จำกัด (มหาชน),29/6/2558," 26,000,000 ",ให้บริการด้านข่าวสาร สาระความรู้ ความบันเทิง และเกมออนไลน์ ผ่านระบบโทรศัพท์มือถือ ระบบอิเล็กทรอนิกส์,121/58 อาคารอาร์เอส ทาวเวอร์ ชั้นที่ 16 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
26 ,0105558103280,บจ.เทเช่น เทคโนโลยีส์ (ไทยแลนด์) จำกัด,25/6/2558," 25,000,000 ",ประกอบกิจการผลิต ขาย ซ่อมแซมและบำรุงรักษาอุปกรณ์ เครื่องมือและผลิตภัณฑ์อิเล็กทรอนิกชั้นสูงต่างๆ,202 อาคารเลอ คองคอร์ด ทาวเวอร์ ชั้นที่ 6 ห้องเลขที่ 606-607 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
27 ,0105558105487,บจ.เอ็ม.เค. ออโต้เอซ จำกัด,29/6/2558," 20,000,000 ",ประกอบกิจการขายส่งและการขายปลีก การซ่อมยานยนต์และจักรยานยนต์,141/1 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
28 ,0105558098448,บจ.บีเอนจี พร็อพเพอร์ตี้ จำกัด,17/6/2558," 20,000,000 ",ซื้อ จัดหา รับเช่า ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง ใช้ และจัดการโดยประการอื่นซึ่งทรัพย์สินใดๆ,20 ซอยพัฒนาการ 67 แยก 2  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
29 ,0105558105011,บจ.อัคริณโฮเทลกรุ้ป จำกัด,29/6/2558," 13,000,000 ",ประกอบกิจการ รับบริหารจัดการอสังหสริมทรัพย์ ธุรกิจโรงแรม,3 ซอยลาดพร้าว 95 (ปรางทิพย์) ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
30 ,0105558102372,บจ.ตรัย แอสเซท จำกัด,23/6/2558," 10,000,000 ",ประกอบธุรกิจรับเหมาก่อสร้าง,562/12 ห้องเลขที่ ดี 2 ถนนพระราม 5  แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300
31 ,0105558099762,บจ.เคพีเอ็น เอนเนอยี โฮลดิ้ง จำกัด,19/6/2558," 10,000,000 ",ผลิตและจำหน่ายกระแสไฟฟ้า,719 อาคารเคพีเอ็น ทาวเวอร์ ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
32 ,0105558092351,บจ.ซิน โกลบอล แอสเซท จำกัด,8/6/2558," 10,000,000 ",นำเข้าส่งออก เครื่องใช้ไฟฟ้า ทุกชนิด,65/218 อาคารชำนาญเพ็ญชาติ บิสเนส เซ็นเตอร์ ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
33 ,0105558091192,บจ.เดอะแลนด์ พร็อพเพอร์ตี้ จำกัด,4/6/2558," 10,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์  ซื้อขายที่ดิน,582/345 หมู่บ้านอยู่เจริญ ถนนอโศก-ดินแดง  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
34 ,0105558090811,บจ.ทรู โอคุระ จำกัด,4/6/2558," 10,000,000 ",ประกอบกิจการค้าสายพานลำเลียงสินค้าและระบบสายพานลำเลียงสินค้า,140/36 อาคารไอทีเอฟ ทาวเวอร์ ชั้น 17 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
35 ,0105558091419,บจ.เคที เมดิคอล เซอร์วิส จำกัด,5/6/2558," 10,000,000 ",ประกอบกิจการให้บริการสถานพยาบาลบำบัดโรคไตและโรคทั่วไป,95 ซอยรามอินทรา 117 ถนนรามอินทรา  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
36 ,0105558104863,บจ.อี.ซี.ที. กรุ๊ป จำกัด,26/6/2558," 10,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัดเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,170 ซอยสมเด็จพระเจ้าตากสิน 29 ถนนสมเด็จพระเจ้าตากสิน  แขวงสำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600
37 ,0105558098804,บจ.ปิง สวนลุมไนท์บาซาร์ รัชดาภิเษก จำกัด,18/6/2558," 10,000,000 ",ประกอบกิจการภัตตาคาร,137/3 ถนนสุขุมวิท 21 (อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
38 ,0105558100167,บจ.มันนี่ แบ็ก จำกัด,19/6/2558," 10,000,000 ",ประกอบกิจการค้าและจัดสรรที่ดิน ปลูกสร้างอาคารเพื่อขายหรือให้เช่า,46/27 ซอยแสงทิพย์ ถนนสุขุมวิท 71  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
39 ,0105558096186,บจ.เอ็กซพีเรียน (ประเทศไทย) จำกัด,15/6/2558," 10,000,000 ",ให้คำปรึกษาและแนะนำในการประกอบธุรกิจด้านการตลาด ด้านการวิเคราะห์ข้อมูล เพื่อตัดสินใจ,399 อาคารอินเตอร์เชนจ 21 ชั้น 32 ห้อง 3241-3243 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
40 ,0105558102801,บจ.แกรนด์ ดราก้อน อินเตอร์เนชั่นแนล คอนสตรัคชั่น กรุ๊ป จำกัด,24/6/2558," 10,000,000 ",รับเหมาก่อสร้าง,1 ห้อง 2501 ชั้น 25 อาคารเอ็มไพร์ ทาวเวอร์ ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
41 ,0105558096631,บจ.ทรัพย์สินท่าทราย จำกัด,15/6/2558," 10,000,000 ",พัฒนาอสังหาริมทรัพย์ ซื้อ ขาย ให้เช่าที่ดินและทรัพย์สิน,33/4 ถนนพระราม 3  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
42 ,0105558095201,บจ.หลงไท่ เพอร์เฟค เฮาส์ จำกัด,11/6/2558," 10,000,000 ",ประกอบกิจการ ซื้อ ขาย และการพัฒนาอสังหาริมทรัพย์ที่เป็นของตนเองเพื่อการพักอาศัย,88/115 หมู่บ้านกรานต์วดี ถนนพุทธมณฑลสาย 3  แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160
43 ,0105558092181,บจ.เดอะ โฟร์ทีน จำกัด,8/6/2558," 10,000,000 ",ประกอบกิจการนำเข้าส่งออก ครีมบำรุงผิว วิตามิน อาหารเสริม เวชสำอาง ผลิตภัณฑ์เสริม,2/56 ถนนราษฎร์พัฒนา  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
44 ,0105558097573,บจ.แอ๊บโซลูท ไฮจีนิคส์ จำกัด,16/6/2558," 10,000,000 ",ผลิตจำหน่ายสินค้าเพื่อสุขภาพและอุปกรณ์เครื่องมือเครื่องใช้ซึ่งสินค้าเพื่อสุขภาพ,699 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
45 ,0105558104324,บจ.เอ. เอ็ม. เอ็นจิเนียริ่ง แอนด์ ซัพพลายส์  จำกัด,26/6/2558," 10,000,000 ",ประกอบกิจการค้าเครื่องจักร เครื่องยนต์  เครื่องมือกล เครื่องทุ่นแรง และยานพาหนะ,313 ซอยโสอุดร ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
46 ,0105558094671,บจ.แสงอารี เอสเตท จำกัด,11/6/2558," 10,000,000 ",ประกอบกิจการให้เช่าอสังหาริมทรัพย์ได้แก่ที่ดินอาคารชุดอาคารที่พักอาศัยโรงงานสำนักงานและสิ่งปลูกสร้าง,22 ซอยพรีเมียร์ 1 แยก 4 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
47 ,0105558101066,บจ.แทงโก้ทูไนท์ จำกัด,22/6/2558," 7,000,000 ",ประกอบกิจการบาร์ ไนท์คลับ,125 ซอยสุขุมวิท 55(ทองหล่อ) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
48 ,0105558094655,บจ.ซันเทค เพาเวอร์ โซลูชั่นส์ จำกัด,11/6/2558," 6,500,000 ",บริการทางวิศวกรรมและเทคนิค รับเป็นที่ปรึกษา ให้คำแนะนำ อุปกรณ์ เครื่องมือวัด อุปกรณ์ควบคุมที่ใช้ในโร,333 อาคารเล้าเป้งง้วน 1 ชั้น 12 ยูนิต ซี 2 ซอยเฉยพ่วง ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
49 ,0105558102623,บจ.โทโฮ จิเกียว (ไทยแลนด์) จำกัด,24/6/2558," 6,000,000 ",บริหาร จัดการร้านอาหารทุกชนิด งานอื่นที่เกี่ยวข้องทุกประเภท,999/9 อาคารดิ ออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้นที่ 29 ห้องเลขที่ 2940 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
50 ,0105558090161,บจ.วาโก้ คอนแทค จำกัด,3/6/2558," 6,000,000 ",ประกอบกิจการค้าส่ง ค้าปลีก ผลิตภัทฑ์ เชื่อมต่อไฟฟ้า กล่องวงจร สัญญาของระบบ,399 อาคารอินเตอร์เชนจ์ 21 ชั้นที่ 32 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
51 ,0105558104006,บจ.อิสรา โกลบอล จำกัด,26/6/2558," 6,000,000 ",ให้บริการคำแนะนำเกี่ยวกับเทคนิคในการประกอบธุรกิจให้เป็นไปตามหลักทางสังคม,29 อาคารบางกอกบิสซิเนสเซ็นเตอร์ ชั้นที่ 18 ห้องเลขที่ 1804 ซอยสุขุมวิท63 ถนนสุขุมวิท63  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
52 ,0105558094108,บจ.ไท-แว็กซ์ (ประเทศไทย) จำกัด,10/6/2558," 6,000,000 ",ประกอบกิจการนำเข้าและจัดจำหน่ายเครื่องพิมพ์สามมิติ พร้อมท้้งชิ้นส่วน อะไหล่ของอุปกรณ์,12 ซอยงามวงศ์วาน 47 แยก 20 ถนนงามวงศ์วาน  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
53 ,0105558093772,บจ.เทคโน บลาสท์ จำกัด,10/6/2558," 5,000,000 ",ให้บริการด้านการติดตั้งและซ่อมแซมเครื่องจักร,506/106 ซอยรามคำแหง 39 (เทพลีลา 1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
54 ,0105558095589,บจ.24 เพาเวอร์ จำกัด,12/6/2558," 5,000,000 ",รับกำจัดขยะโดยวิธีทำปุ๋ยหมัก,392 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
55 ,0105558098189,บจ.บางกอกออร์คิดส์ฟาร์ม จำกัด,17/6/2558," 5,000,000 ",ประกอบกิจการค้าปลูก เพาะชำกล้าไม้ ขยายพันธ์ไม้ต้น ไม่พุ่ม ไม้ดอก ไม้ประดับและพันธ์ไม้ชนิดต่าง,725 ถนนประดิษฐ์มนูธรรม  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310
56 ,0105558104219,บจ.เอเซีย อควา เซอร์วิสเซส จำกัด,26/6/2558," 5,000,000 ",จำหน่าย อาหารสัตว์ พรีมิกซ์ ผลิตภัณฑ์อาหารเสริมสำหรับสัตว์ และผลิตภัณฑ์อื่น ที่เกี่ยวข้องกับสัตว์,74 ซอยลาดพร้าว 50  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
57 ,0105558102551,บจ.ไฮไบโอมี่ เมดิคอล เทรดดิ้ง (ไทยแลนด์) จำกัด,24/6/2558," 5,000,000 ",ค้า นำเข้าส่งออก จำหน่าย ค้าส่ง ค้าปลีก เครื่องมือ อุปกรณ์ต่างๆทางการแพทย์,522/179 ซอยรามคำแหง 39 (เทพลีลา 1) ถนนประชาอุทิศ  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
58 ,0105558101490,บจ.อีซีโม่ จำกัด,22/6/2558," 5,000,000 ",ประกอบกิจการธุรกิจพาณิชย์อิเล็กทรอนิกส์ซึ่งไม่ใช่ธุรกิจขายตรง,61/30 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
59 ,0105558102640,บจ.แพน - เอเซีย หงส์ต้า จำกัด,24/6/2558," 5,000,000 ",ประกอบกิจการค้าเกี่ยวกับบริการสื่อสิ่งพิมพ์ทุกชนิด,61/278 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
60 ,0105558093136,บจ.เออีซี ลีกัล สปิริต จำกัด,9/6/2558," 5,000,000 ",ให้บริการ จัดเก็บ รวบรวมศึกษา พัฒนา ผลงาน งานวิจัย การเผยแพร่ข้อมูล,202 อาคารเลอคองคอร์ด ชั้น 12 ห้อง 1203 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
61 ,0105558094086,บจ.เจไอบี ดีเวลลอปเม้นท์ จำกัด,10/6/2558," 5,000,000 ",ประกอบกิจการค้าอสังหาริมทรัพย์ สร้างสิ่งปลูกสร้างเพื่อขาย ปลูกสร้างอาคารชุด (คอนโดมิเนียม)เพื่อขาย,90 อาคารไซเบอร์เวิร์ลด ทาวเวอร์ ตึก B ห้องเลขที่ 1601 ชั้นที่ 16 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
62 ,0105558096917,บจ.ไลท์ คอร์ปอเรท จำกัด,15/6/2558," 5,000,000 ",ประกอบกิจการเกี่ยวกับอสังหาริมทรัพย์ รับซื้อ ขาย ให้เช่า ที่ดินและสิ่งปลูกสร้างทุกชนิด,48/493 ซอยลาดพร้าว 51 (เศรษฐบุตร)  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310
63 ,0105558089627,บจ.พร้อมท์ เอ็นดีที แอนด์ อินสเป็คชั่นส์ จำกัด,2/6/2558," 5,000,000 ",รับจ้างทำการสำรวจตรวจสอบรับรองอุปกรณ์ที่ให้ได้มาตรฐานสากลสำหรับทุกอุตสาหกรรม,29/186 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
64 ,0105558101686,บจ.เอส แอนด์ พี ดีเวลลอปเมนท์ โฮลดิ้ง จำกัด,22/6/2558," 5,000,000 ",ให้บริการ ด้านเทคนิค ด้านทรัพย์สินทางปัญญา,2034/100 อาคารอิตัลไทย ทาวเวอร์ ชั้นที่ 23 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
65 ,0105558089783,บจ.เฮลท์ เอสเซนส์ จำกัด,2/6/2558," 5,000,000 ",นำเข้าและส่งออกเคมีภัณฑ์ทุกชนิด,24 ถนนพระราม 1  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330
66 ,0105558099339,บจ.ฟาสท์ เฟรท จำกัด,18/6/2558," 5,000,000 ",นายหน้า ตัวแทน ขนส่งและขนถ่ายสินค้า รวมถึงคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ระหว่างประเทศ,1 อาคารทีเอซี ชั้น 4 ซอยร่วมฤดี ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
67 ,0105558097158,บจ.โมวี่-วัน จำกัด,16/6/2558," 5,000,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์คลับ,29/1 อาคารปิยะเพลส ชั้นที่ 13 ห้องเลขที่ 13B/1 ซอยหลังสวน ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
68 ,0105558091257,บจ.จุฑาทิพย์ เดโปเซอร์วิส จำกัด,5/6/2558," 5,000,000 ",ประกอบกิจการรับจ้างบรรจุสินค้าภายในตู้สินค้า,275/1 ถนนจารุเมือง  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330
69 ,0105558099282,บจ.ไชน่า จงหยวน อินเตอร์เนชั่นแนล พร็อพเพอร์ตี้ ดีเวลอปเม้นท์ (ไทยแลนด์) จำกัด,18/6/2558," 5,000,000 ",ประกอบกิจการ รับเหมาก่อสร้าง พัฒนาอสังหาริมทรัพย์,731 ถนนอโศก-ดินแดง  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
70 ,0105558106092,บจ.บีซีดี5 จำกัด,30/6/2558," 5,000,000 ",กิจการซื้อขาย นำเข้าส่งออก จัดหา เช่าซื้อ แก้ไข ดัดแปลง ติดตั้งและบำรุงรักษารถยกประเภทต่างๆ,6 ซอยอรรณพนฤมิตร ถนนดินแดง  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
71 ,0105558092202,บจ.99 โฮลดิ้ง จำกัด,8/6/2558," 5,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดให้ห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัด  และบริษัทมหาชนจำกัด,1561/1-2 ถนนเพชรบุรีตัดใหม่  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
72 ,0105558095112,บจ.เสนากิจณรงค์ จำกัด,11/6/2558," 5,000,000 ",ประกอบกิจการซื้อ ขาย ให้เช่า เช่าซื้อ ขายฝาก จำนอง อสังหาริมทรัพย์รวมทั้งการจำนำ จำนอง,234/1 ถนนพญาไท  แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
