นิติบุคคลจัดตั้งเดือนธันวาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
23,0105558193416,บจ.บีทีเอส แสนสิริ โฮลดิ้ง อีเลฟเว่น จำกัด,14/12/2558," 100,000,000 ",พัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
24,0105558193424,บจ.บีทีเอส แสนสิริ โฮลดิ้ง ทเวลฟ์ จำกัด,14/12/2558," 100,000,000 ",พัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
25,0105558190077,บจ.กาเมซ่า (ประเทศไทย) จำกัด,3/12/2558," 100,000,000 ",ประกอบกิจการบริการบำรุงรักษากังหันลม และบริการอื่นๆ ที่เกี่ยวข้องกัน,98 อาคารสาทรสแควร์ ชั้นที่ 37 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
26,0105558199911,บจ.โอเอสที โอเวอร์ซีส์ จำกัด,30/12/2558," 90,000,000 ",ขายปลีกขายส่ง แฟ้มพลาสติก โปรเตอร์ สื่อการเรียนการสอน  เครื่องใช้สำนักงาน,450 ถนนพระรามที่3  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120
27,0105558195931,บจ.พัทยาเหนือเอกซ์พลิเคชั่น จำกัด,18/12/2558," 84,114,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
28,0105558195940,บจ.นาเกลืออิโวลูชั่น จำกัด,18/12/2558," 83,492,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
29,0105558191057,บจ.ณุศา เรสซิเด้นซ์ เชียงใหม่ จำกัด,4/12/2558," 72,000,000 ",ซื้อ ขาย โอน รับโอน จัดสรรที่ดิน เช่า หรือ ให้เช่า,29 อาคารบิสซิเนส เซ็นเตอร์ ชั้นที่ 30 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
30,0105558196636,บจ.กุลธรพัฒนา จำกัด,21/12/2558," 71,120,000 ",พัฒนา บริหาร จัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
31,0105558189621,บจ.เซ็น ซัพพลาย เชน แมเนจเม้นท์ จำกัด,2/12/2558," 70,000,000 ",ประกอบกิจการจัดเก็บและขนส่งสินค้า,782/1 ซอยอ่อนนุช 17  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
32,0105558198671,บจ.เอ็ม.วี.เจ. โฮม จำกัด,25/12/2558," 69,755,460 ",ประกอบกิจการค้าที่ดิน ทำการจัดสรรที่ดินและบ้าน การจัดหาที่ดิน และสิ่งก่อสร้าง,668 ซอยอ่อนนุช 17  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
33,0105558195851,บจ.อรุโณทัยพัฒนา จำกัด,18/12/2558," 66,564,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้างรวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
34,0105558196024,บจ.บ้านฉางยูเนี่ยน จำกัด,18/12/2558," 59,194,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
35,0105558193998,บจ.สกาย เรสซิเดนซ์ จำกัด,15/12/2558," 54,000,000 ",ประกอบกิจการโรงแรม เซอรวิสอพาร์เมนท์,1050 ซอยสุขุมวิท 66/1 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
36,0105558195982,บจ.เทพประทานพรพัฒนา จำกัด,18/12/2558," 53,424,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
37,0105558197446,บจ.ซีเอ็มเอ ซีจีเอ็ม ดีโป้ เซอร์วิสเซส (ประเทศไทย) จำกัด,23/12/2558," 50,000,000 ",ประกอบกิจการให้บริการสถานที่เก็บตู้บรรจุสินค้าเปล่า  ทำความสะอาด ดูแลรักษา และซ่อมแซมตู้,1 อาคารคิวเฮ้าส์ลุมพินี ชั้น 14 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
38,0105558198418,บจ.รอยัล โอเรียนทัล แอสเสท จำกัด,25/12/2558," 50,000,000 ",การลงทุนกิจกรรมเกี่ยวกับอสังหาริมทรัพย์,173/13 อาคารเอเซีย เซ็นเตอร์ ชั้น 15 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
39,0105558189044,บจ.สุขกาญจน์ ปิโตรเลียม จำกัด,1/12/2558," 50,000,000 ",ประกอบกิจการ ค้าเคมีภัณฑ์ เคมีภัณฑ์ปิโตรเลียม,22/1 ซอยท่าข้าม 8 ถนนพระราม 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
40,0105558189796,บจ.วงเวียนใหญ่เพลส จำกัด,2/12/2558," 50,000,000 ",ให้เช่าอสังหาริมทรัพย์ สังหาริมทรัพย์ บริการส่วนกลาง สาธารณูปโภคและบริการอื่นที่เกี่ยวข้อง,1239/4 ถนนเอกชัย  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
41,0105558189605,บจ.แม็กซาโกร แอร์ จำกัด,2/12/2558," 50,000,000 ",ประกอบกิจการรับทำฝนเทียม,129/190 ซอยนวมินทร์ 163  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
42,0105558197454,บจ.สลิม คอนเซ็ป คอร์ปอเรชั่น จำกัด,23/12/2558," 50,000,000 ",ประกอบกิจการจำหน่ายผลิตภัณฑ์เสริมความงาม รวมถึงอุปกรณ์เสริมความงามทุกประเภท,18/57 หมู่บ้านเพอร์เฟคมาสเตอร์พีช ถนนมอเตอร์เวย์  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
43,0105558189133,บจ.วอนท์อัพ เทคโนโลยี(ประเทศไทย) จำกัด,1/12/2558," 50,000,000 ",ให้บริการให้คำปรึกษา แนะนำ ออกแบบ และติดตามความคุมการทำของระบบโปรแกรมคอมพิวเตอร์,161 ซอยไพศาล  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
44,0105558198744,บจ.เสถียรโฮลดิ้งส์ จำกัด,25/12/2558," 48,000,000 ",ประกอบธุรกิจค้าที่ดินจัดสรรเพื่อจำหน่ายและที่ดินพร้อมสิ่งปลูกสร้างทุกชนิด,30 ซอยศรีอักษร ถนนเชื้อเพลิง  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
45,0105558196431,บจ.สิมะพร็อพเพอร์ตี้ จำกัด,21/12/2558," 42,930,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
46,0105558196032,บจ.พัทยาฟ้าใส จำกัด,18/12/2558," 40,950,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
47,0105558196504,บจ.เอสเคพร็อพเพอร์ตี้ 3 จำกัด,21/12/2558," 40,036,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
48,0105558198477,บจ.เอ็นซีไอ โฮลดิ้ง (2015) จำกัด,25/12/2558," 36,000,000 ",กิจกรรมของบริษัทโฮลดิ้งที่ลงทุนในธุรกิจการเงินเป็นหลัก,24 อาคารวี.เอส.เคม เฮ้าส์ ชั้นที่ 2 ถนนพระราม 1  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330
49,0105558198167,บจ.เอ็ม.วี.เอส.เทรดดิ้ง จำกัด,24/12/2558," 30,000,000 ",ประกอบกิจการผลิต พลาสติกขึ้นรูป เครื่องใช้พลาสติก,2521/8 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
50,0105558197471,บจ.สัมมาทรัพย์ จำกัด,23/12/2558," 27,000,000 ",ประกอบกิจการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่น,410/117 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
51,0105558188960,บจ.บริหารสินทรัพย์ ลุมพินี จำกัด,1/12/2558," 25,000,000 ",กิจกรรมการให้เงินทุนนอกเหนือจากการให้กู้ยิมเงิน,287 อาคารลิเบอร์ตี้สแควร์ ชั้นที่ 18 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
52,0105558190344,บจ.มหชน  จำกัด,3/12/2558," 25,000,000 ",ประกอบกิจการค้าที่ดิน ทำการจัดสรรที่ดิน การจัดหาที่ดินหรือสิ่งก่อสร้าง หรือทำการก่อสร้าง,78 ตรอกกัปตันบุช (เจริญกรุง30) ถนนเจริญกรุง  แขวงบางรัก เขตบางรัก กรุงเทพมหานคร 10500
53,0105558191731,บจ.ไมเยอร์ พาร์ค จำกัด,8/12/2558," 24,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์ รวมทั้งให้เช่า บริการอื่น ๆ,234/1 หมู่ที่ 1  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
54,0105558195648,บจ.เอสเคพร็อพเพอร์ตี้ 1 จำกัด,18/12/2558," 21,570,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
55,0105558189681,บจ.ไวด์ เวย์ โมลด์ (ไทยแลนด์) จำกัด,2/12/2558," 20,000,000 ",ประกอบกิจการผลิตและจำหน่าย วิจัยพัฒนาและให้บริการซ่อมแซม แม่พิมพ์ ยางรถยนต์,67 ซอยปากน้ำกระโจมทอง 39  แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170
56,0105558193513,บจ.โทโมเอะ เทรดดิ้ง (ประเทศไทย) จำกัด,14/12/2558," 16,000,000 ",จำหน่ายวัตถุดิบ วัสดุ ชิ้นส่วน ผลิตภัณฑ์ทางอุตสาหกรรม,1 อาคารคิวเฮ้าส์ ลุมพินี ชั้นที่ 27 ห้องเลขที่ 2747 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
57,0105558191065,บจ.มาย โอโซน เรสซิเด้นซ์ จำกัด,4/12/2558," 15,000,000 ",ซื้อ ขาย โอนจัดสรรที่ดิน เช่า ให้เช่า,29 อาคารบางกอกบิสซิเนส เซ็นเตอร์ ชั้นที่ 30 ซอยสุขุมวิท 63 (เอกมัย)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
58,0105558199139,บจ.กรีน วิชั่นส์ (ประเทศไทย) จำกัด,28/12/2558," 15,000,000 ",ประกอบกิจการรับติดตั้ง จำหน่ายแผงอุปกรณ์เกี่ยวกับพลังงานแสงอาทิตย์,246 ถนนพาหุรัด  แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200
59,0105558195222,บจ.ยูเอสจี บอรอล อาร์ แอนด์ ดี เซ็นเตอร์ จำกัด,17/12/2558," 15,000,000 ",ให้บริการวิจัยและพัฒนาผลิตภัณฑ์ ผลิตภัณฑ์ต้นแบบ วัตถุดิบที่ใช้ในการผลิตและเทคโนโลยีที่เกี่ยวข้องกับก,9 อาคารภคินท์ ชั้น 5 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
60,0105558196059,บจ.เอสเอ็มเค โลจิสติกส์ จำกัด,18/12/2558," 14,980,000 ",ประกอบธุรกิจเพื่อลงทุน พัฒนา และบริหารจัดการอสังหาริมทรัพย์ ที่ดินและสิ่งปลูกสร้าง รวมถึงการซื้อ ขาย,237-237/1-4 ถนนหลานหลวง  แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
61,0105558197179,บจ.เมดิคอล ดีพาร์ทเจอร์ส (ประเทศไทย) จำกัด,22/12/2558," 12,000,000 ",ประกอบกิจการสำนักงานใหญ่ข้ามประเทศ,1 อาคารกลาสเฮาส์ ซอยสุขุมวิท 25  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
62,0105558198329,บจ.มินิแม็กส์ เวนเจอร์ จำกัด,25/12/2558," 12,000,000 ",ประกอบกิจการร้านอาหาร,625/321 ถนนพระรามที่ 2  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150
63,0105558197110,บจ.เจซีดับบลิว รีไซเคิล จำกัด,22/12/2558," 10,500,000 ",ประกอบกิจการ รับซื้อขายเครื่องจักรเก่า,12 ซอยเฉลิมพระเกียรติ ร.9 ซอย41  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
64,0105558192916,บจ.เฟล็กไวร์ (ไทยแลนด์) จำกัด,11/12/2558," 10,000,000 ",ประกอบกิจการจัดซื้อ สินค้า วัตถุดิบและชิ้นส่วนสำหรับอุตสาหกรรมต่าง,703/1 ถนนเจริญนคร  แขวงดาวคะนอง เขตธนบุรี กรุงเทพมหานคร 10600
65,0105558196393,บจ.ราษฎร์บูรณะ พร็อพเพอร์ตี้ จำกัด,21/12/2558," 10,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,21 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
66,0105558199015,บจ.เดอะ คอมมูนิตี้ ทู จำกัด,28/12/2558," 10,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,21 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
67,0105558196385,บจ.กิ่งแก้ว แอสเสทส์ จำกัด,21/12/2558," 10,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,21 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
68,0105558199007,บจ.เดอะ คอมมูนิตี้ วัน จำกัด,28/12/2558," 10,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,21 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
69,0105558194196,บจ.ดี แอนด์ ดี ท่าแพ จำกัด,15/12/2558," 10,000,000 ",ประกอบกิจการค้าอสังหาริมทรัพย์,393 อาคารคลิ๊ก เดนิม ชั้นที่ 3 ซอยสุขุมวิท 63 (เอกมัย) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
70,0105558193807,บจ.แซดไอ อินเตอร์เนชั่นแนล จำกัด,14/12/2558," 10,000,000 ",ประกอบกิจการให้บริการด้านบริหารหรือด้านเทคนิคแก่วิสาหกิจในเครือหรือสาขาของตนไม่ว่าจะตั้งอยู่ในประเทศ,2 อาคารเพลินจิต เซ็นเตอร์ ชั้น 11 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
71,0105558190701,บจ.แบงค็อก มูฟวิ่ง มีเดีย จำกัด,4/12/2558," 10,000,000 ",ผลิต นำเข้า จำหน่าย ติดตั้ง ให้เช่า เช่าซื้อ ป้ายโฆษณา จอภาพทุกชนิด เช่นจอภาพ,57/19 ถนนเสนานิคม 1(ม.เสนานิเวศน์โครงการ 1)  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230
72,0105558199694,บจ.ว่าน ต๋า พลาซ่า จำกัด,29/12/2558," 10,000,000 ",ประกอบกิจการสำรองการเดินทางโรงแรม ภัตตาคาร การให้เช่ารถ ชมสถานที่,388/91 ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230
73,0105558194099,บจ.คาร์-โอ-ไลเนอร์ (ประเทศไทย) จำกัด,15/12/2558," 10,000,000 ",ประกอบกิจการค้า อุปกรณ์เครื่องมือใช้ในการซ่อมแซมยานพาหนะทุกชนิด ยานยาต์ ทุกประเภท,4 ถนนกาญจนาภิเษก  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
74,0105558189770,บจ.มูเบีย (ประเทศไทย) จำกัด,2/12/2558," 10,000,000 ",นำเข้า ผลิต ขาย ส่งออกชิ้นส่วนยานยนต์และส่วนประกอบ,589/123 อาคารเซ็นทรัลซิตี้บางนา ออฟฟิศทาวเวอร์1 ชั้นที่ 22 ห้องเลขที่ บี5 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
