นิติบุคคลจัดตั้งเดือนกรกฎาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
23,0105558120869,บจ.ออโต้ บิสซิเนส คอร์ปอเรชั่น จำกัด,23/7/2558," 50,000,000 ",นำเข้า ส่งออก รับติดตั้งซ่อมบำรุง ดัดแปลงรถยนต์,634 ถนนพระรามที่ 2  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150
24,0105558120206,บจ.นาโนเอซ จำกัด,22/7/2558," 50,000,000 ",ประกอบกิจการสินเชื่อรายย่อยเพื่อการประกอบอาชีพ(เมื่อได้รับอนุญาตจากหน่วยงานที่เกี่ยวข้อง),24/81 ซอยวิภาวดีรังสิต 37  แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210
25,0105558121504,บจ.คิงโฟ พลังงาน เทคโนโลยี จำกัด,24/7/2558," 50,000,000 ",โรงงานผลิตไฟฟ้าแสงอาทิตย์ โรงงานผลิตไฟฟ้าด้วยชีวมูล โรงงานผลิตก๊าซธรรมชาติ,1888 ถนนพระราม 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
26,0105558112394,บจ.ทิพยพลชาติ จำกัด,9/7/2558," 50,000,000 ",ประกอบกิจการจำหน่าย อาหารทั้งไทยและต่างประเทศ,23 ซอยสิริวานิช ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
27,0105558123361,บจ.ไอเอฟซีจี เวลท์ จำกัด,28/7/2558," 50,000,000 ",บริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านบริหารงานพาณิชยกรรมอุตสาหกรรม รวมทั้งการผลิต,388 อาคารอามีโก้ทาวเวอร์ ชั้น 25 โซนบี ถนนสี่พระยา  แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500
28,0105558107129,บจ.แซนสตาร์-แอลอีดี (ประเทศไทย) จำกัด,1/7/2558," 44,000,000 ",การออกแบบ ติดตั้ง และให้บริการเกี่ยวกับระบบไฟแอลอีดี(LED Lighting systems)ทั้งในและนอกราชอาณาจักร,999/9 ดิ ออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้นที่ 29 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
29,0105558106602,บจ.อินเด็กซ์ เอเชีย จำกัด,1/7/2558," 37,250,000 ",การออกแบบพัฒนาผลิตขายให้เช่าใช้ให้ใช้ซื้อขายจัดการซึ่งโปรแกรมซอฟต์แวร์แอปพลิเคชั่นเกม ระบบปฏิบัติงาน,496-502 อาคารอัมรินทร์ ทาวเวอร์ ชั้นที่ 18 ห้องเลขที่ 4 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
30,0105558106645,บจ.โมบาย เน็ตเวิร์ค อินเตอร์เนชั่นแนล จำกัด,1/7/2558," 35,000,000 ",ประกอบกิจการระบบโทรศัพท์มือถือ รวมทั้งอะไหล่ และอุปกรณ์ของสินค้า,10/11 ซอยสุขุมวิท 33(แดงอุดม) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
31,0105558119453,บจ.เอ็น แอนด์ เอ็น ซินดิเคท จำกัด,22/7/2558," 30,500,100 ",ประกอบกิจการเพื่อลงทุนในบริษัทอื่น,21/490 ซอยบรมราชชนนี 115/1 ถนนบรมราชชนนี  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170
32,0105558122985,บจ.เอฟไอเอ็น อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,28/7/2558," 25,000,000 ",ประกอบกิจการผลิต จำหน่าย นำเข้าส่งออก สารเติมแต่งยางโพลิเมอร์ สารสำหรับแยกส่วนประกอบ,67 ซอยปากน้ำกระโจมทอง 39  แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170
33,0105558113340,บจ.บริหารสินทรัพย์ ไมด้า จำกัด,10/7/2558," 25,000,000 ",ประกอบกิจการบริหารสินทรัพย์ รวมทั้งกิจการอื่นที่เกี่ยวข้องหรือการพึงกระทำหรือมีอำนวจทางการกฎหมายว่าด,56/8 ซอยแจ้งวัฒนะ 14  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
34,0105558112971,บจ.ศรีสยามมงคลพัฒนา จำกัด,10/7/2558," 20,000,000 ",ซื้อ จัดหา เช่าซื้อ อาคาร โรงงาน เครื่องมือ เครื่องจักร ทรัพย์สินอื่น เพื่อประกอบการให้เช่า,1570-1576 ถนนกรุงเกษม  แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
35,0105558116080,บจ.พีเอสไอ คอร์ปอเรชั่น จำกัด,16/7/2558," 20,000,000 ",ประกอบกิจการค้า นำเข้าส่งออก ประกอบติดตั้ง ซ่อม เครื่องใช้ไฟฟ้า รวมทั้งอะไหล่และอุปกรณ์ทุกชนิด,588 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
36,0105558122624,บจ.ลิงค์ แอพพาเรล (ประเทศไทย) จำกัด,27/7/2558," 16,000,000 ",ประกอบกิจการผลิต เพื่อส่งออกเสื้อผ้า เครื่องนุ่งห่ม เครื่องแต่งกาย เครื่อประดับ สิ่งทอ,629/689 ถนนสาธุประดิษฐ์  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120
37,0105558108974,บจ.ซีโอโออีซี (ประเทศไทย) จำกัด,3/7/2558," 16,000,000 ",รายงานเกี่ยวกับการดำเนินธุรกิจในประเทศไทยและให้คำแนะนำเกี่ยวกับธุรกิจดังกล่าวสำนักงานสาขา,555 อาคารรสา ทาวเวอร์ สอง ห้องเลขที่ 1403 ถนนพหลโยธิน  แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900
38,0105558107625,บจ.เพชรเกษม โฮลดิ้ง จำกัด,2/7/2558," 15,000,000 ",เป็นนายหน้า ตัวแทน,27 ถนนเพชรเกษม  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160
39,0105558112998,บจ.อะเกร็คซ์ (ไทยแลนด์) จำกัด,10/7/2558," 13,900,000 ",ประกอบกิจการวางแผน การออกแบบการพัฒนา การก่อสร้าง การบริหาร,90 อาคารไซเบอร์เวิร์ลด ทาวเวอร์ ชั้นที่ 28 ห้องเลขที่ เอ 2801 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
40,0105558106343,บจ.โตเกียว ซันเร มหาจักร จำกัด,1/7/2558," 12,000,000 ",1.บริการทางวิศวกรรมและเทคนิค,225 ถนนรามคำแหง  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
41,0105558124406,บจ.ไห่เทียน แมชชีนเนอรี่ (ประเทศไทย) จำกัด,29/7/2558," 12,000,000 ",ประกอบกิจการ นำเข้า ส่งออก ค้าปลีก ค้าส่ง อะไหล่ ชิ้น ส่วน เครื่องจักร เครืองฉีดพลาสติก,115/5 ถนนมอเตอร์เวย์  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
42,0105558107994,บจ.ซีซาการ์ รีสอร์ท จำกัด,2/7/2558," 12,000,000 ",ประกอบกิจการจัดสรรที่ดิน บ้าน ตลอดจนการพัฒนาอสังหาริมทรัพย์ทุกชนิดทุกประเภท,317 อาคารกมลสุโกศล ห้องเลขที่ ยูนิต 8 ดี ชั้นที่ 8 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
43,0105558106459,บจ.เจ็ทส์ (ประเทศไทย) จำกัด,1/7/2558," 10,000,000 ",ให้บริการสถานที่ออกกำลังกายและบริหารร่างกายรับปรึกษาให้คำแนะนำวิธีการออกกำลังกาย,100/137 อาคารวอเตอร์ฟอร์ด พาร์ค ชั้นที่ 19 ซอยสุขุมวิท 53 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
44,0105558114907,บจ.ทีเอฟดี เรียลเอสเตท แมนเนจเมนท์ จำกัด,14/7/2558," 10,000,000 ",ประกอบกิจการเป็นผู้จัดการทรัสต์ เพื่อการลงทุนในอสังหาริมทรัพย์ (เมื่อได้รับอนุญาตจากสำนักงานคณะกรรมก,18 อาคารทีเอฟดี ซอยสาทร 11 แยก 9  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120
45,0105558123094,บจ.เอี่ยวไถ่ 1960 จำกัด,28/7/2558," 10,000,000 ",ประกอบกิจการภัตตาคาร และจำหน่ายสุกี้โบราณ อาหารไทย จีน ฝรั่ง อาหารญี่ปุ่น เครื่องดื่มทุกชนิด,1 อาคารอีวีเอส ซอยสุวรรณสวัสดิ์ ถนนพระราม 4  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
46,0105558120001,บจ.เจ.เอ็ม.ที. 2558 จำกัด,22/7/2558," 10,000,000 ",ประกอบกิจการซื้อขาย เช่า ให้เช่า เช่าซื้อ ขายฝาก-จำนองอสังหาริมทรัพย์และสังหาริมทรัพย์,340 ถนนบางขุนเทียน-ชายทะเล  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
47,0105558124627,บจ.ซีอีเอส เวนเจอร์ จำกัด,29/7/2558," 10,000,000 ",บริการออกแบบวิศวกรรมการก่อสร้างพ่นทรายสีรับจัดทำนั่งร้านให้เช่าอุปกรณ์นั่งร้านและอุปกรณ์ทดสอบแรงดัน,114 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
48,0105558115938,บจ.ไทยเพ็ท ชีท จำกัด,16/7/2558," 10,000,000 ",ประกอบกิจการผลิต ผลิตภัณฑ์พลาสติกหรือเคลือบด้วยพลาสติก,109-111 ถนนเลียบคลองภาษีเจริญฝั่งใต้  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160
49,0105558119046,บจ.โรงไฟฟ้า แมกซ์ เอ็นเนอร์จี จำกัด,21/7/2558," 10,000,000 ",ดำเนินงานการผลิตและการส่งพลังงานไฟฟ้าเพื่อขายส่งให้เช่นการไฟฟ้านครหลวงผลิตพลังงายไฟฟ้าจากแสงอาทิตย์,176 ซอยกาญจนาภิเษก 5  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160
50,0105558106564,บจ.ธอร์ เอนเนอร์จี แอนด์ รีซอร์สเซส จำกัด,1/7/2558," 10,000,000 ",ประกอบกิจการด้าน พลังงาน และพลังงานทดแทนทุกชนิด,60 ซอยประดิษฐ์มนูธรรม 19 ถนนประดิษฐ์มนูธรรม  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
51,0105558121539,บจ.ยี่ต๋า รับเบอร์ จำกัด,24/7/2558," 10,000,000 ",ประกอบกิจการผลิตและจำหน่ายชุดเครื่องนอนเพื่อสุขภาพที่ทำจากยางพาราทุกชนิด,3 ซอยลาซาล 44  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
52,0105558121563,บจ.ตี้ไท้ รับเบอร์ จำกัด,24/7/2558," 10,000,000 ",ประกอบกิจการผลิตและจำหน่ายชุดเครื่องนอนเพื่อสุขภาพที่ทำจากยางพาราทุกชนิด,3 ซอยลาซาล 44  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
53,0105558116900,บจ.หลอเต๋อ โฮลดิ้งส์ (ไทยแลนด์) จำกัด,17/7/2558," 10,000,000 ",พัฒนาอสังหาริมทรัพย์ ทำการซื้อที่ดินเพื่อขาย ปลูกสร้างอาคารเพื่อขาย ให้เช่า,33/4 เดอะไนน์ทาวเวอร์ อาคารเอ ชั้น 35 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
54,0105558122357,บจ.เบิร์นรับเบอร์ จำกัด,27/7/2558," 10,000,000 ",ประกอบกิจการค้า รถจักรยานยนต์ รถสกู๊ตเตอร์ และยานพาหนะทุกชนิดทุกประเภท,2034/91 อาคารอิตัลไทย ทาวเวอร์ ชั้นที่ 20 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
55,0105558108699,บจ.โคเบลโก้ คอมเพรสเซอร์(ไทยแลนด์) จำกัด,3/7/2558," 10,000,000 ",การขายส่งเครื่องจักรและอุปกรณ์อื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,1126/2 อาคารวานิช 2 ห้องเลขที่ 2104บี ถนนเพชรบุรีตัดใหม่  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
56,0105558117906,บจ.กรีน โฮลดิ้ง (ประเทศไทย) จำกัด,20/7/2558," 10,000,000 ",ประกอบกิจการโฮลดิ้งส์,1575/1 ถนนเพชรบุรีตัดใหม่  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
57,0105558112491,บจ.เมดิคอล วิชั่น จำกัด,10/7/2558," 10,000,000 ",ประกอบกิจการผลิต จำหน่าย ผลิตภัณฑ์ อุปกรณ์ เครื่องมือเครื่องใช้ และอุปกรณ์ทางแพทย์,95 ซอยรามอินทรา 117 ถนนรามอินทรา  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
58,0105558123418,บจ.ร่มเกล้า คอนสตรัคชั่น จำกัด,28/7/2558," 10,000,000 ",รับเหมาก่อสร้างอาคาร โรงงานผลิตน้ำดื่ม น้ำประปา,2 ซอยร่มเกล้า 8  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
59,0105558108371,บจ.พี ฟู้ด แอนด์ เบฟเวอร์เรจ จำกัด,2/7/2558," 10,000,000 ",ประกอบกิจการค้า ผลิตเครื่องดื่ม น้ำดื่ม น้ำแร่ น้ำผลไม้ อาหารสำเร็จรูป อาหารบรรจุกระป๋อง,349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้น 20 ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
60,0105558119852,บจ.โอลิ วีบรา จำกัด,22/7/2558," 8,000,000 ",ผลิต นำเข้าส่งออก ค้าส่งค้าปลีก ให้เช่า ให้เช่าซื้อ อิเล็กทรอนิกสทุกชนิด เครื่องยนต์แบบสั่น เครื่องย,162/1 ซอยพัฒนาการ 78 ถนนพัฒนาการ  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
61,0105558120303,บจ.เตียวฮงไพศาล จำกัด,22/7/2558," 7,000,000 ",การขายส่งอุปกรณ์และชิ้นส่วนอิทรอนิกส์,95 ถนนนราธิวาสราชนครินทร์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
62,0105558108257,บจ.เรนอลด์ (ประเทศไทย) จำกัด,2/7/2558," 5,300,000 ",กิจการให้บริการสนับสนุน ในเรื่องการบริหารงาน การวางแผนและประสานงานทางธุรกิจ การจัดหาวัตถุดิบและชิ้นส,399 อาคารอินเตอร์เชนจ ชั้นที่ 24 ห้องเลขที่ 10 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
63,0105558106921,บจ.ดีทีแอล แอคเค้าติ้ง แอนด์ แทค (ประเทศไทย) จำกัด,1/7/2558," 5,000,000 ",ประกอบกิจการงานด้านบัญชี ตรวจสอบบัญชี วางระบบบัญชี วางแผนภาษีและงานอื่นๆด้านบัญชี,527-529 ถนนบำรุงเมือง  แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
64,0105558109385,บจ.เฉลิมไทย อินเตอร์เนชั่นแนล จำกัด,6/7/2558," 5,000,000 ",นำเข้าส่งออก จัดหา จัดซื้อและขาย สินค้าอุปโภคบริโภค ซื้อและขายสินค้าดังกล่าวผ่านระบบออนไลน์,184/1 ถนนหลานหลวง  แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100
65,0105558110995,บจ.อัลทิเมทสปอร์ต จำกัด,8/7/2558," 5,000,000 ",ประกอบกิจการนำเข้าส่งออกซื้อขายรถจักรยาน รถจักรยานยนต์ ชิ้นส่วน อุปกรณ์และอะไหล่,816-818 ถนนทรงวาด  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
66,0105558124091,บจ.โอ้วเฮียบเซ่งเชียง จำกัด,29/7/2558," 5,000,000 ",ขายเหล็ก แสตนเลส ทองเหลือง ทองแดง,"779,781,783 ถนนเจริญกรุง (ตอนตลาดน้อย)  แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100"
67,0105558107072,บจ.แม็กซิส แมนูแฟคเจอริ่ง (ไทยแลนด์) จำกัด,1/7/2558," 5,000,000 ",การออกแบบผลิต รับเหมาแปรรูป จำหน่ายบำรุงรักษาเป็นที่ปรึกษาเกียวกับผลิตภัณฑ์ ชิ้นส่วน อะไหล่ แม่พิมพ์,1 อาคารกลาสเฮ้าส์ ชั้นที่ 12 ซอยสุขุมวิท 25 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
68,0105558111801,บจ.เท็กซ์ ซีที จำกัด,9/7/2558," 5,000,000 ",ประกอบกิจการนำเข้า-ส่งออก และจำหน่ายเสื้อผ้าแฟชั่น เสื้อผ้าสำเร็จรูป เครื่องแต่งกาย เครื่องประดับกาย,318/29-30 ซอยสุขุมวิท 22 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
69,0105558111827,บจ.โรลเลอร์ โคสเตอร์ จำกัด,9/7/2558," 5,000,000 ",ประกอบกิจการ นำเข้า ส่งอก และจำหน่ายเสื้อผ้าแฟชั่น เสื้อผ้าสำเร็จรูป เครื่องแต่งกาย เครื่องประดับกาย,318/29-30 ซอยสุขุมวิท 22 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
70,0105558112246,บจ.กู๊ดริช (ประเทศไทย) จำกัด,9/7/2558," 5,000,000 ",ขนส่งและขนถ่ายสินค้า คนโดยสารทั้งทางบกทางน้ำทางอากาศ,3388/79 อาคารสิรินรัตน์ ชั้นที่ 22 ถนนพระราม 4  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110
71,0105558112459,บจ.ไอเดีย ครีเอชั่น 2015 จำกัด,10/7/2558," 5,000,000 ",ประกอบกิจการ นำเข้า ส่งออก และจำหน่ายเสื้อผ้าแฟชั่น เสื้อผ้าสำเร็จรูป เครื่องแต่งกาย เครื่องประดับ,318/29-30 ซอยสุขุมวิท 22 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
72,0105558112602,บจ.โซเด็กซ์โซ่ อมตะ เซอร์วิสเซส จำกัด,10/7/2558," 5,000,000 ",กิจกรรมบริการอื่นๆ เพื่อสนับสนุนธุรกิจซึ่งมิได้จัดประเภทไว้ ที่อื่น,23/52-54 อาคารสรชัย ชั้นที่ 17 ซอยสุขุมวิท 63 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
