นิติบุคคลจัดตั้งเดือนกันยายน  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
11,0105558144911,บจ.แบงค็อก เซนเตอร์ ดิสตริค จำกัด,7/9/2558," 300,000,000 ",ประกอบกิจการ การค้า รับเหมาก่อสร้าง อาคาร โรงแรม การพัฒนาอสังหาริมทรัพย์ทุกประเภท,29 อาคารบางกอกบิสซิเนสเซ็นเตอร์ ชั้นที่ 23 ถนนสุขุมวิท 63  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
12,0107558000407,บมจ.เจตาแบค จำกัด (มหาชน),18/9/2558," 240,000,000 ",ประกอบกิจการค้าอุปกรณ์ต่างๆเกี่ยวกับหม้อน้ำ หม้อหุงต้มเครื่องจักรทุกชนิดที่เกี่ยวกับโรงงานอุตสาหกรรม,335/7 ถนนศรีนครินทร์  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,,
13,0105558142544,บจ.ทูซีทูพี พลัส (ประเทศไทย) จำกัด,2/9/2558," 200,000,000 ",กิจกรรมอื่นๆ ที่ช่วยเสริมกิจกรรมการให้บริการทางการเงินซึ่งมิได้จัดประเภทไว้,33/4 อาคารเดอะไนน์ ทาวเวอร์ แกรนด์ พระราม 9 ชั้นที่ 26 ห้องเลขที่ ทีเอ็นบี 01-02 อาคารบี ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
14,0105558153040,บจ.เฮง เฮง เฮง พรอพเพอร์ตี้ จำกัด,21/9/2558," 150,000,000 ",ประกอบกิจการค้า ให้เช่า การซื้อ ขาย และดำเนินการด้านอาคารที่อยู่อาศัย คอนโดมิเนียม,2539 อาคารอิมพีเรียลเวิลด์ลาดพร้าว ชั้นที่ 6 ซอยลาดพร้าว 81-83 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,,
15,0105558143532,บจ.เคอรี่ โลจิสติคส์ ซีทีไอ โฮลดิ้ง จำกัด,3/9/2558," 110,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัดหรือผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,89 อาคารเจ้าพระยาทาวเวอร์ ชั้น 8 ห้อง 804 ตรอกวัดสวนพลู (เจริญกรุง 42/1) ถนนเจริญกรุง  แขวงบางรัก เขตบางรัก กรุงเทพมหานคร 10500,,
16,0105558145420,บจ.ไทย ดี ที จำกัด,8/9/2558," 108,000,000 ",ซื้อ ขาย บ้านที่ดิน,555 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240,,
17,0105558145161,บจ.บีทีเอส แสนสิริ โฮลดิ้ง เอท จำกัด,8/9/2558," 100,000,000 ",พัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,,
18,0105558156600,บจ.บีทีเอส แสนสิริ โฮลดิ้ง ไนน์ จำกัด,28/9/2558," 100,000,000 ",พัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,,
19,0105558151420,บจ.คุณเจริญ โฮลดิ้ง จำกัด,17/9/2558," 100,000,000 ",ประกอบกิจการถือหุ้นในธุรกิจ,13/120 ถนนกาญจนาภิเษก  แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160,,
20,0105558142447,บจ.มิสเตอร์ โคโคนัท จำกัด,2/9/2558," 100,000,000 ",ประกอบกิจการ ผลิต ขายส่ง ขายปลีก ส่งออก น้ำมันมะพร้าว,47 ชั้นที่ 4 ซอยลาดพร้าววังหิน 76 ถนนลาดพร้าววังหิน  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
21,0105558143192,บจ.อินเตอร์เนชั่นแนล ฟู้ด ซัพพลาย จำกัด,3/9/2558," 100,000,000 ",ประกอบกิจการผลิตอาหารปรุงสำเร็จ,1200 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,,
22,0105558152311,บจ.อวตาร์ ริเวอร์ไซด์ จำกัด,18/9/2558," 100,000,000 ",ซื้อ จัดหา รับ เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุงใช้ และจัดการโดยประการอื่น ซึ่งทรัพย์สิน,254-256 ชั้น 3 ถนนราชวงศ์  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,,
23,0105558156138,บจ.เอ็นพีพี ฟู้ด อินคอร์ปอเรชั่น จำกัด,25/9/2558," 100,000,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ในท์คลับ,283/98 อาคารโฮมเพลส ออฟฟิศ บิลดิ้ง ชั้นที่ 20 ซอยสุขุมวิท 55 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
24,0105558156693,บจ.อะนิเมท เจเอ็มเอ จำกัด,28/9/2558," 100,000,000 ",ซื้อหรือจัดหาจากผู้จำหน่ายในประเทศนำเข้าเพื่อจำหน่ายสินค้าเกี่ยวกับการ์ตูน การ์ตูนภาพเคลื่อนไหว เกมส,89/5 ซอยสุขุมวิท 38 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
25,0105558153261,บจ.ทีเมค เอเชีย (ประเทศไทย) จำกัด,21/9/2558," 100,000,000 ",ซื้อขายนำเข้า ส่งออก เครื่องจักร อุปกรณ์เครื่องมือ ชิ้นส่วน อะไหล่ รวมถึงผลิตภัณฑ์กึ่งสำเร็จรูป,179 อาคารบางกอก ซิตี้ ทาวเวอร์ ชั้น 23 ห้องเลขที่ 603 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
26,0105558154062,บจ.เอเอสเอ แอสโซซิเอชั่น จำกัด,23/9/2558," 80,000,000 ",ประกอบกิจการให้บริการออกหุ้นในราคาสูงกว่ามูลค่าที่ตั้งไว้,38 ซอยสังคมสงเคราะห์ 12  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
27,0105558151659,บจ.ซีเอ็มโอ โชว์ คอร์ป จำกัด,17/9/2558," 70,000,000 ",ประกอบกิจการพัฒนาศูนย์การแสดงที่ผสมผสานเทคโนโลยี่ ระดับโลก จัดโชว์ จัดแสดง ศิลปวัฒนธรรมไทย และอื่นๆ,4/18-19 ซอยนวลจันทร์ 56  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
28,0105558158165,บจ.วิสโก้ อัลลายแอนซ์ จำกัด,30/9/2558," 50,000,000 ",ประกอบกิจการค้าเครื่องจักร เครื่องยนต์ เครื่องมือกล,9 ซอยสะแกงาม 17  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
29,0105558154836,บจ.กั๋วลี่ กรุ๊ป จำกัด,23/9/2558," 50,000,000 ",ประกอบกิจการรับเหมา ก่อสร้าง อาคาร ถนนสิ่งปลูกสร้างอื่น,79/150 ซอยรามคำแหง 76  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
30,0105558149603,บจ.บลู สกาย บีช รีสอร์ท จำกัด,14/9/2558," 50,000,000 ",ประกอบกิจการที่พักแรม โรงแรม,12 ซอยสุขุมวิท 2 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
31,0105558147031,บจ.ซีเอชซี นาฟเทค (ประเทศไทย) จำกัด,9/9/2558," 50,000,000 ",ประกอบกิจการจำหน่ายและติดตั้งเครื่องมือสำรวจทางวิศวกรรมทุกประเภท,349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้นที่ 16 ยูนิตที่ 6 ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
32,0105558152868,บจ.บางกอก ฟายน์ ฟู๊ดส์ จำกัด,21/9/2558," 50,000,000 ",ประกอบกิจการขาย ส่งออก จำหน่ายผลิตภัณฑ์เนยแข็ง ผลิตภัณฑ์ทุกประเภทที่เกี่ยวกับนม ผลผลิตที่เกี่ยวกับนม,599/313 ถนนรัชดาภิเษก  แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,,
33,0105558144458,บจ.อยู่สุขเพลส จำกัด,7/9/2558," 40,000,000 ",ประกอบกิจการซื้อขาย ให้เช่า ที่พักอาศัย อพาร์ทเม้นท์ อาคารพาณิชย์ คอนโดมีเนียมรวมทั้งอสังหาริมทรัพย์,52 ซอยวชิรธรรมสาธิต18 ถนนสุขุมวิท  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,,
34,0105558150814,บจ.จีโอ ไบโอเอนเนอร์ยี่ จำกัด,16/9/2558," 34,300,000 ",ประกอบธุรกิจโดยเข้าเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัดอื่น,1038 ถนนนครไชยศรี  แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300,,
35,0105558151730,บจ.เดอะ พี สาทร จำกัด,17/9/2558," 30,000,000 ",การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์,48 ซอยสะพานคู่ ถนนพระราม 4  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
36,0105558158548,บจ.บริหารสินทรัพย์ ไทยพลัส จำกัด,30/9/2558," 25,000,000 ",ประกอบกิจการรับโอน ทรัพย์สิน สินทรัพย์หรือสิทธิเรียกร้องบริหาร,21 ซอยรามอินทรา 5 แยก 7 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
37,0105558143745,บจ.เดอะ เพลส แอท 71 จำกัด,4/9/2558," 23,000,000 ",ประกอบกิจการให้เช่า อาพาร์ทเม้น หอพัก โรงแรม,2 ซอยสุคนธสวัสดิ์ 3 แยก 3  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
38,0105558145314,บจ.ไม่ธรรมดาพาณิชย์ บี.อาร์. จำกัด,8/9/2558," 20,000,000 ",กิจกรรมเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่น,143 ซอยพระรามที่ 2 ซอย 50 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
39,0105558154437,บจ.วิสดอม ซี เทคโนโลยี จำกัด,23/9/2558," 20,000,000 ",ประกอบกิจการออกแบบและพัฒนาซอฟแวร์ และบริการอื่น ๆ ที่เกี่ยวข้อง,79/185 ซอยสุขุมวิท 46  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
40,0105558141947,บจ.ฟูจิ ซีล เอ็นจิเนียริ่ง จำกัด,1/9/2558," 18,000,000 ",ผลิต จำหน่าย ส่งออก เครื่องประกอบฉลากสินค้า ชิ้นส่วนและส่วนประกอบของเครื่อง,333 อาคารเล้าเป้งง้วน1 ยูนิตเอ2 ชั้นที่ 15 ซอยเฉยพ่วง ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
41,0105558158408,บจ.อัลลายด์ อิเล็กทริก จำกัด,30/9/2558," 15,000,000 ",ประกอบกิจการโรงงานผลิตและจำหน่ายหลอดไฟฟ้าทั่วไปและอุปกรณ์ที่ให้แสงสว่างทุกชนิด รวมทั้งอะไหล่,3395/39 ถนนพระราม 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
42,0105558152094,บจ.โฮลเซล อิเล็คทริค เอเซีย (ประเทศไทย) จำกัด,18/9/2558," 14,600,000 ",ประกอบกิจการให้บริการติดตั้งระบบไฟฟ้า,32 อาคารเค เอ็ม ชั้นที่ 3 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
43,0105558142803,บจ.ไออาร์ซีพี คลาวด์ เซอร์วิส จำกัด,2/9/2558," 10,000,000 ",ให้คำปรึกษาและบริหารทางเทคโนโลยีสารสนเทศและซอฟต์แวร์,23/106-108 ซอยศูนย์วิจัย ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
44,0105558142811,บจ.เอช อาร์ ซี พี จำกัด,2/9/2558," 10,000,000 ",ประกอบกิจการให้คำปรึกษาและบริหารทางเทคโนโลยีสารสนเทศและซอฟต์แวร์,23/106-108 ซอยศูนย์วิจัย ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
45,0105558143231,บจ.ศรีสวัสดิ์ อินเตอร์เนชั่นแนล โฮลดิ้ง จำกัด,3/9/2558," 10,000,000 ",รับจำนองอสังหาริมทรัพย์ เพื่อเป็นการชำระหนี้สินค้าอันเกิดจากการขายสินค้าของบริษัท,33/4 อาคารเดอะไนน์ ทาวเวอร์ แกรนด์ พระราม 9 บี ชั้น 15 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
46,0105558143729,บจ.วังใหม่ แท็กซี่ จำกัด,4/9/2558," 10,000,000 ",ประกอบกิจการเช่าซื้อรถยนต์ รถแท็กซี่ และรถยนต์ทุกประเภท รถจักรยานยนต์,1656/4 ถนนพระราม 6  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330,,
47,0105558156308,บจ.อิมแพค โซล่าร์ จำกัด,25/9/2558," 10,000,000 ",ประกอบกิจการผลิต ให้เช่า และจำหน่ายสินค้าต่างๆ รวมถึงเครื่องกำเนิดกระแสไฟฟ้าและอุปกรณ์ที่เกี่ยวข้อง,86/338 ซอยอินทามระ 25 ถนนสุทธิสารวินิจฉัย  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,,
48,0105558150784,บจ.สวนบัวเรสซิเดนซ์ จำกัด,16/9/2558," 10,000,000 ",ประกอบกิจการค้าที่ดิน การจัดสรรที่ดินและบ้าน การก่อสร้างอาคารชุด เพื่อจำหน่าย ให้เช่า ให้เช่าซื้อ,52 อาคารธนิยะพลาซา ชั้น 14 ห้อง 14ซี ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,,
49,0105558156006,บจ.ซีซาการ์ อินฟินิตี้ จำกัด,25/9/2558," 10,000,000 ",ประกอบกิจการจัดสรรที่ดิน บ้าน ตลอดจนการพัฒนาอสังหาริมทรัพย์,317 อาคารกมลสุโกศล ห้องเลขที่ยูนิต 8ดี ชั้น8 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
50,0105558156189,บจ.เอส โฮเทล แอนด์ รีสอร์ท อินเตอร์ จำกัด,25/9/2558," 10,000,000 ",ประกอบกิจการที่พักแรมและบริการด้านอาหาร และกิจกรรมการบริหารและบริการสนับสนุน กิจกรรมเกี่ยวกับอสังฯ,968 อาคารอื้อจือเหลียง ชั้นที่ 20 ถนนพระรามที่ 4  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
51,0105558158394,บจ.ซิงไทย โซลาร์ อัลฟา จำกัด,30/9/2558," 10,000,000 ",ประกอบกิจการผลิตและจำหน่ายไฟฟ้าให้แก่การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย การไฟฟ้านครหลวงการไฟ้าส่วนภูมิภาค,90/42 อาคารสาธรธานี ชั้น 16 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
52,0105558144237,บจ.รอยัล ริเวอร์ พาราไดซ์ จำกัด,4/9/2558," 10,000,000 ",ประกอบกิจการบริการด้านโรงแรม,681/8 ถนนหลวงแพ่ง  แขวงทับยาว เขตลาดกระบัง กรุงเทพมหานคร 10520,,
53,0105558157746,บจ.จีโอ สยาม จำกัด,29/9/2558," 10,000,000 ",การผลิตนาฬิกา ตัวเรือนนาฬิกา ฝาล็อค อุปกรณ์และส่วนควบคุมสินค้าดังกล่าว,257 ซอยฉลองกรุง 31  แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520,,
54,0105558145098,บจ.วีเอ็นพี 2015 จำกัด,8/9/2558," 10,000,000 ",ประกอบกิจการ สร้างคอนโดเพื่อจำหน่ายและค้าอสังหาริมทรัพย์ทุกประเภท,114 ซอยพระรามที่2 ซอย28 ถนนพระราม2  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150,,
55,0105558153929,บจ.อีสเทิร์นแกรนด์ซี จำกัด,22/9/2558," 10,000,000 ",ประกอบกิจการค้าสัตว์ไม่มีชีวิต ไม่ว่าจะเป็นเนื้อ ส่วนต่างๆของสัตว์ ไข่ น้ำนมและวัตถุพลอยได้จากสัตว์,1015/78 ถนนบางขุนเทียน-ชายทะเล  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
56,0105558148232,บจ.พร้อม เอ็นเนอร์ยี แอดวานซ์ เรฟโวลูชั่น จำกัด,11/9/2558," 10,000,000 ",ให้บริการออกแบบ ติดตั้ง วิจัยและพัฒนา และให้คำปรึกษาเกี่ยวกับระบบผลิตไฟฟ้าโดยใช้พลังงานทางเลือก,222 อาคารเอ็กโก ชั้นที่ 2 หมู่ที่ 5 ถนนวิภาวดีรังสิต  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210,,
57,0105558150512,บจ.นาคากาว่า คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,16/9/2558," 10,000,000 ",กิจการเป็นศูนย์จัดซื้อระหว่างประเทศโดยจัดซื้อผลิตภัณฑ์ทุกชนิดตามที่ได้รับการส่งเสริมการลงทุน,38 ซอยสุขาภิบาล2 ซอย31  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,,
58,0105558153082,บจ.แซดเคเทคโค ไทย จำกัด,21/9/2558," 10,000,000 ",ซื้อและขายสินค้า วัตถุดิบ ชิ้นส่วน หรือให้บริการเกี่ยวกับการค้าระหว่างประเทศ,9/306 อาคารยูเอ็มทาวเวอร์ ชั้นที่ 30 ถนนรามคำแหง  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
59,0105558144954,บจ.บางพระกรีนเอนเนอร์จี จำกัด,7/9/2558," 10,000,000 ",ประกอบกิจการผลิตและจำหน่ายในธุรกิจพลังงานทดแทน ผลิตและจำหน่ายไฟฟ้า,17/1 ซอยวชิรธรรมสาธิต 22  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,,
60,0105558148712,บจ.อู่ตะเภาคลีนเอนเนอร์จี จำกัด,11/9/2558," 10,000,000 ",ประกอบกิจการผลิตและจำหน่ายในธุรกิจพลังงานทดแทนในรูปแบบต่าง ๆ,17/1 ซอยวชิรธรรมสาธิต 22  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,,
61,0105558151594,บจ.เอสจีแอล แอสเสท แอนด์ ดีเวลลอปเม้นท์ จำกัด,17/9/2558," 10,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการฯ,19 ซอยวชิรธรรมสาธิต55  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,,
62,0105558147520,บจ.เนร่า เพย์เม้นท์ โซลูชั่นส์ (ประเทศไทย) จำกัด,10/9/2558," 10,000,000 ",ขาย ให้เช่า ทดสอบ ติดตั้งซ่อมแซมบำรุงรักษาเครื่องรูดบัตรเครดิตบัตรเดบิต ผลิตภัณฑ์และอุปกรณ์เทคโนโลยี,253 ชั้น 26 ถนนสุขุมวิท 21(อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
63,0105558148437,บจ.เฮฟเว่น ดรอปส์ จำกัด,11/9/2558," 10,000,000 ",จำหน่าย ส่งออก อาหารเสริม เครื่องดื่ม และขนมขบเคี้ยวทุกชนิด,219/2 อาคารอโศกทาวเวอร์ ถนนสุขุมวิท 21(อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
64,0105558145047,บจ.อีสท์โซลาร์เอนเนอร์จีพลัส จำกัด,7/9/2558," 10,000,000 ",ประกอบกิจการผลิตและจำหน่ายในธุรกิจพลังงานทดแทน ผลิตและจำหน่ายไฟฟ้า,58/28 ถนนเชื้อเพลิง  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
65,0105558145659,บจ.เดอะ โซล่าร์ พาธ จำกัด,8/9/2558," 10,000,000 ",รับเหมาก่อสร้างอาคาร ออกแบบอาคาร,1114 ถนนพระราม4  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
66,0105558148755,บจ.สัตหีบโซลาร์เอนเนอร์จี จำกัด,11/9/2558," 10,000,000 ",ประกอบกิจการผลิต และจำหน่ายในธุรกิจพลังงานทดแทนในรูปแบบต่างๆ,58/28 ถนนเชื้อเพลิง  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
67,0105558150857,บจ.เอส เอช บี แมเนจเม้นท์ (ไอเอชคิว) จำกัด,16/9/2558," 10,000,000 ",ให้คำปรึกษาเกี่ยวกับหลักสูตรการเรียน การสอน เทคโนโลยีการเรียนการสอน,1922 ถนนเจริญกรุง  แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพมหานคร 10120,,
68,0105558152965,บจ.อา ยัท อบาโลน คอนเวนชั่น ฮอลล์ จำกัด,21/9/2558," 10,000,000 ",บริการด้านอาหารในภัตตาคาร ร้านอาหาร บาร์ ไนท์คลับ,43 อาคารจอดรถ ไทย ซี ซี ทาวเวอร์ ชั้น 12 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,,
69,0105558155506,บจ.อาหารปลอดภัย จำกัด,24/9/2558," 10,000,000 ",ประกอบกิจการ นำเข้า ส่งออก วางจำหน่ายเพื่อค้าปลีก สินค้าอุปโภค บริโภค,71 ถนนเจริญราษฎร์  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,,
70,0105558151888,บจ.วารีวาน่า เกาะพะงัน รีสอร์ท แอนด์ สปา จำกัด,18/9/2558," 10,000,000 ",ประกอบกิจการ ที่พัก รีสอร์ท ให้เช่า รายวันและรายเดือน,181/211 ถนนประชาราษฎร์ 2  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,,
71,0105558155832,บจ.โปรแอคท์ เขาใหญ่ จำกัด,25/9/2558," 10,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร,21/53ก ซอยลาดพร้าว 15  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
72,0105558141777,บจ.สแมช ยิม จำกัด,1/9/2558," 9,000,000 ",ประกอบกิจการให้บริการ สนามกีฬา และสถานที่ออกกำลังกาย ทุกชนิด,127 ซอยรามอินทรา23 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
