นิติบุคคลจัดตั้งเดือนมีนาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
11 ,0105558048793,บจ.เอ็กเซคคิวทีฟ เรสซิเดนซ์ ดีเวลลอปเม้นท์ จำกัด,18/3/2558," 150,000,000 ",ประกอบธุรกิจซื้อขาย ที่ดินและสิ่งปลูกสร้าง,50/20-21 ชั้นที่ 2 ถนนปั้น  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
12 ,0105558052251,บจ.ซอร์ อัลลอย เมททีเรียล (ไทยแลนด์) จำกัด,24/3/2558," 150,000,000 ",ประกอบกิจการผลิต จำหน่าย ไม้แปรรูป นำเข้าส่งออกผลิตภัณฑ์โลหะผสมเพื่อใช้ในการหล่อทุกชนิด,67 ซอยปากน้ำกระโจมทอง 39  แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170
13 ,0105558054297,บจ.ทีอี คอนเน็คทิวิตี้ ดิสทริบิวชั่น (ประเทศไทย) จำกัด,26/3/2558," 100,000,000 ",ประกอบกิจการส่งออกนำเข้า ผลิต จำหน่าย ขายส่งขายปลีก สินค้าทุกชนิด,555 ถนนพหลโยธิน  แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900
14 ,0105558040512,บจ.อีซูซุมอเตอร์สเอเซีย (ประเทศไทย) จำกัด,5/3/2558," 100,000,000 ",ประกอบธุรกิจให้บริการด้านการจัดการและการบริหารงานทั่วไป,999/9 อาคารดิ ออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้นที่ 24 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
15 ,0105558045638,บจ.บีทีเอส แสนสิริ โฮลดิ้ง ทู จำกัด,13/3/2558," 100,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,475 อาคารสิริภิญโญ ชั้น 8 ถนนศรีอยุธยา  แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400
16 ,0105558051107,บจ.เฟรเกรนท์ พินนะเคิล จำกัด,23/3/2558," 100,000,000 ",ประกอบกิจการซื้อ จัดหา เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง พัฒนา ใช้ ซึ่งอสังหาริมทรัพย์,1550 อาคารธนภูมิ ชั้นที่ 31 ถนนเพชรบุรีตัดใหม่  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
17 ,0105558054645,บจ.ยูแม็ก อินเตอร์เนชั่นแนล คอร์ปอเรชั่น จำกัด,27/3/2558," 100,000,000 ",ประกอบกิจการซื้อและการขายอสังหาริมทรัพย์ที่เป็นของตนเองเพื่อการพักอาศัย,2/45 ถนนรามคำแหง  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
18 ,0105558056729,บจ.ตัน ชง แม่โขง รีจินอล จำกัด,31/3/2558," 100,000,000 ",ประกอบกิจการเป็นสำนักงานภูมิภาคโดยมีขอบเขตกิจการตามที่ได้รับอนุญาตจากคณะกรรมการส่งเสริมการลงทุน,1 อาคารเอ็มดี ทาวเวอร์ ชั้นที่ 14 ห้องเลขที่ เอ ซอยบางนา-ตราด 25 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
19 ,0105558043295,บจ.แปซิฟิค แอสเสท เมเนจเม้นท์ จำกัด,10/3/2558," 100,000,000 ",ให้เช่าอาคารสำนักงาน ห้องพักอาศัย,26 ซอยสุขุมวิท 36 ถนนสุขุมวิท  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110
20 ,0105558051590,บจ.ศรีอยุธยา ฮอสปิทาลิตี้ จำกัด,23/3/2558," 100,000,000 ",ประกอบกิจการ บริการโรงแรม พร้อมจำหน่ายอาหาร,232 ซอยสุขุมวิท 55 (ทองหล่อ)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
21 ,0105558041586,บจ.ท็อป แอสเซท โฮลดิ้ง เพาเวอร์ จำกัด,6/3/2558," 80,000,000 ",ประกอบกิจการลงทุนในหลักทรัพย์ และตลาดหลักทรัพย์แห่งประเทศไทย,98 อาคารสาทรสแควร์ ออฟฟิศ ทาวเวอร์ ห้องเลขที่ 3727 ชั้นที่ 37 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
22 ,0105558048564,บจ.เจ พี คอนเซปต์ จำกัด,18/3/2558," 80,000,000 ",ประกอบกิจการโรงแรม,11/52 ถนนกาญจนาภิเษก  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160
23 ,0105558046685,บจ.ไพบูลย์ แค็ปปิตอล จำกัด,16/3/2558," 50,000,000 ",ให้กู้ยืมเงิน การรับซื้อ ซื้อลดหรือรับช่วงซื้อตั๋วเงินหรือ ตราสารเปลี่ยนมืออื่นใด การให้เช่าซื้อ,89/22 ถนนริมคลองประปาฝั่งขวา  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800
24 ,0105558044313,บจ.ชูเงิน จำกัด,11/3/2558," 50,000,000 ",การให้สินเชื่อเพื่อการค้าและการลงทุน,1047 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
25 ,0105558057016,บจ.เซ็นเนอร์จี อินโนเวชั่น จำกัด,31/3/2558," 50,000,000 ",ให้บริการจัดจำหน่ายและดูแลระบบการจัดจำหน่ายของสินค้าผ่านระบบสารสนเทศ,45/1 ชั้นที่ 7 ซอยสีลม 19 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
26 ,0105558047517,บจ.วิชัยเจริญแมชีนเนอรี่ จำกัด,17/3/2558," 50,000,000 ",จำหน่ายเครื่องพิมพ์ ซ่อมเครื่องพิมพ์,35 ถนนกาญจนาภิเษก  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
27 ,0107558000113,บมจ.ดีมาก ลิสซิ่ง จำกัด (มหาชน),24/3/2558," 50,000,000 ",ให้เช่าซื้อและลิสซิ่ง สังหาริมทรัพย์ ประเภท รถยนต์ เครื่องจักร,30/68 ซอยสุขุมวิท 41 (ภิรมย์)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
28 ,0105558043627,บจ.เอจีบี แฟมิลี่ โฮลดิ้ง จำกัด,10/3/2558," 45,900,000 ",เข้าเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชน,782/1 ซอยอ่อนนุช 17  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
29 ,0105558044844,บจ.เอจีบี ซิบลิ้งส์ โฮลดิ้ง จำกัด,12/3/2558," 45,900,000 ",เป็นผู้ถือหุ้นบริษัทจำกัด และบริษัทมหาชน,782/1 ซอยอ่อนนุช 17  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
30 ,0105558056737,บจ.ทริปเปิ้ล เอส อีโค่ จำกัด,31/3/2558," 40,000,000 ",ประกอบกิจการผลิตไฟฟ้า และจำหน่ายไฟฟ้า,47/10 ซอยอมรพันธ์ 4 ถนนวิภาวดีรังสิต  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900
31 ,0105558056231,บจ.คอยล์ เซ็นเตอร์ จำกัด,30/3/2558," 30,000,000 ",นำเข้าและจำหน่ายม้วนคอยล์เหล็ก เครื่องจักร และเหล็กที่ใช้สำหรับงานโครงสร้างและงานก่อสร้าง,88/24 หมู่บ้านเพอร์เฟคเพลสมาสเตอร์พีช ซอยรามคำแหง 174  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
32 ,0105558055072,บจ.ฮาตาริ แอลอีดี จำกัด,27/3/2558," 30,000,000 ",การผลิต นำเข้า ส่งออก ขายปลีก ขายส่ง ให้บริการออกแบบ ติดตั้งหลอดไฟแอลอีดี และระบบหลอดไฟที่เกี่ยวข้อง,10 ซอยพระรามที่ 2 ซอย 94  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
33 ,0105558042922,บจ.ไทย หย่ง ลี้ (ไทยแลนด์) จำกัด,10/3/2558," 20,000,000 ",ประกอบกิจการนำเที่ยว และธุรกิจอื่นที่เกี่ยวข้องทุกชนิด,290 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
34 ,0105558042931,บจ.ไทย เหอ ทราเวล กรุ๊ป จำกัด,10/3/2558," 20,000,000 ",ประกอบกิจการนำเที่ยวและธุรกิจอื่นที่เกี่ยวข้องกับการนำเที่ยวทุกชนิด,290 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
35 ,0105558052456,บจ.เมกาทรานซ์ แอนด์ เซอร์วิส จำกัด,24/3/2558," 20,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า รวมถึงคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ทั้งในและระหว่างประเทศ,529/55 ซอยลาดพร้าว 126 (กรัณฑ์พร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
36 ,0105558054513,บจ.โซล่าร์ ลิสซิ่ง จำกัด,26/3/2558," 20,000,000 ",การให้เช่าและให้เช่าแบบลิสชิ่งเครื่องจักรอุปกรณ์และสินค้าที่จับต้องได้,9/12 ซอยรัชดาภิเษก 18 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
37 ,0105558055269,บจ.เคมอลล์ บิสสิเนส เรดิโอ จำกัด,27/3/2558," 20,000,000 ",การประมูลคลื่นความถี่วิทยุกระจายเสียง วิทยุโทรทัศน์,67 ซอยโชคชัย 4 (ซอย 31/1) ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
38 ,0105558045611,บจ.แกรนด์ เฟาน์เท่น อินเตอร์เนชั่นแนล จำกัด,12/3/2558," 20,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคารอาคารพาณิชย์อาคารที่พักอาศัยสถานที่ทำการถนนสะพานเขื่อนอุโมงค์ฯ,877/23 หมู่บ้านเนอวานา แอทเวิร์ค ถนนพระราม 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
39 ,0105558038461,บจ.เมโทรเอ็นเนอร์ยี่ จำกัด,2/3/2558," 20,000,000 ",ประกอบกิจการการผลิตและจำหน่ายกระแสไฟฟ้าทั้งปลีกและส่ง,1758/4 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
40 ,0105558042116,บจ.สโกมาดิ (ประเทศไทย) จำกัด,9/3/2558," 20,000,000 ",ประกอบกิจการนำเข้ารถจักรยานยนต์ อุปกรณ์ตกแต่ง และอะไหล่ต่างๆที่เกี่ยวข้องกับรถจักรยายยนต์เพื่อขาย,132/3 ซอยเจริญมิตร  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
41 ,0105558048211,บจ.แกรนด์ เบย์ ดีเวลลอปเม้นท์ จำกัด,18/3/2558," 20,000,000 ",ให้เช่า การขาย การซื้อ และการดำเนินงานด้านอสังหาริมทรัพย์,10/53 อาคารเดอะเทรนดี้ ชั้นที่ 2 ซอยสุขุมวิท 13 (แสงจันทร์) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
42 ,0105558039328,บจ.อารีว่า รีนิวเอเบิล เอ็นเนอร์จีส์ (ประเทศไทย) จำกัด,3/3/2558," 18,000,000 ",จัดหาบริการด้านการกำกับดูแล การประสานงาน การควบคุมคุณภาพ การฝึกอบรมด้านความปลอดภัยการก่อสร้าง ติดตั้,87/1 อาคารแคปปิตอล ทาวเวอร์ ออลซีซั่นส์ เพลส ชั้นที่ 16 ยูนิต 1604-6 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
43 ,0105558050887,บจ.เบส กอล์ฟ เซ็นเตอร์ จำกัด,20/3/2558," 18,000,000 ",ประกอบกิจการเป็นที่ปรึกษา ให้คำแนะนำ เทคนิคการเล่นกอล์ฟ,571 อาคารอาร์ เอส ยู ทาวเวอร์ ห้องเลขที่ 503 ชั้นที่ 5 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
44 ,0105558048815,บจ.ไวต้า - ไอซีแอล จำกัด,18/3/2558," 16,250,000 ",ประกอบธุรกิจนำเข้าส่งออก ค้าส่งค้าปลีกและเผยแพร่จำหน่ายสารเคมี สารปรุงแต่งหรือสารเจือปน,22 ซอยสุขุมวิท 42 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110
45 ,0105558043686,บจ.เอ็มลิ้งค์ คิวไออาร์ จำกัด,10/3/2558," 15,000,000 ",ประกอบกิจการค้าและติดตั้งระบบอินฟาเรดทั้งในและต่างประเทศ รวมทั้งอะไหล่ของอุปกรณ์ต่างๆ กล้องอินฟาเรด,73 อาคารเอ็ม ลิ้งค์ ซอยสุขุมวิท 62 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
46 ,0105558047606,บจ.หลงเถิง กรุ๊ป (ไทยแลนด์) จำกัด,17/3/2558," 12,000,000 ",ประกอบกิจการค้า โรงแรม รีสอร์ทและห้องชุด,227 ถนนประชาราษฎร์ 1  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800
47 ,0105558046618,บจ.ซีทีดี มุกดาหาร จำกัด,16/3/2558," 12,000,000 ",ตัวแทนจำหน่าย ผู้แทนจำหน่าย ผู้ค้าส่ง ผู้ค้าปลีก เครื่องดื่ม สุรา น้ำดื่ม น้ำผลไม้ อาหารสำเร็จรู,191/5 อาคารซีทีไอ ทาวเวอร์ ชั้น 31 ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
48 ,0105558042795,บจ.แบรนด์ แฟมิลี่ จำกัด,9/3/2558," 10,000,000 ",รับจ้างทำโฆษณา และเป็นตัวแทนทำโฆษณาทุกชนิด ทุกประเภท,999 ถนนสามเสน  แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300
49 ,0105558052561,บจ.วอนจิน บิวตี้ เมดิคอล กรุ๊ป (ประเทศไทย) จำกัด,24/3/2558," 10,000,000 ",ประกอบกิจการทางด้านเสริมความสวยงาม และผิวพรรณ ภายใต้การดูแลของแพทย์ผู้เชี่ยวชาญ,275 ถนนประดิษฐ์มนูธรรม  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
50 ,0105558056541,บจ.ดี ยี่ เน็ทเวิร์ค เทคโนโลยี จำกัด,31/3/2558," 10,000,000 ",ประกอบกิจการรับเหมาก่อสร้างทุกชนิด,1213/334 ซอยลาดพร้าว 94 (ปัญจมิตร) ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
51 ,0105558039948,บจ.ทาส์กเวิลด์ จำกัด,5/3/2558," 10,000,000 ",ประกอบกิจการบริการข้อมูลข่างสาวทางระบบคอมพิวเตอร์,57 อาคารปาร์คเวนเชอร์ อีโคเพล็กซ์ ห้องเลขที่ 1808-1812 ชั้นที่ 18 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
52 ,0105558045867,บจ.อินฟินิตี้ เอ็กซ์เช้นจ์ จำกัด,13/3/2558," 10,000,000 ",ประกอบกิจการซื้อขายแลกเปลี่ยนเงินตราต่างประเทศ (เมื่อได้รับอนุญาตจากกระทรวงการคลังแล้ว),133/23 ถนนราชปรารภ  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
53 ,0105558038691,บจ.เทคโนไฟล์ จำกัด,2/3/2558," 10,000,000 ",ประกอกบธุรกิจโดยมีรายได้จากการถือหุ้นในบริษัทอื่นเป็นหลัก,664 ถนนสี่พระยา  แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500
54 ,0105558051301,บจ.เมอิวะ (ประเทศไทย) จำกัด,23/3/2558," 10,000,000 ",ค้าส่งเคมีภัณฑ์ ยาง พลาสติก สิ่งทอ,287 อาคารลิเบอร์ตี้ สแควร์ ชั้นที่ 14 ห้องเลขที่ 1401 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
55 ,0105558044992,บจ.พันธ์กุล จำกัด,12/3/2558," 10,000,000 ",ประมูลเพื่อทำงานออกแบบอาคารบ้านเรือน ก่อสร้าง รับเหมา ซ่อมแซม ทั้งไฟฟ้า ประปา สีเฟอร์นิเจอร์,65/435 ถนนผดุงพันธ์  แขวงหนองจอก เขตหนองจอก กรุงเทพมหานคร 10530
56 ,0105558039727,บจ.แอลเอ็นที (ประเทศไทย) จำกัด,3/3/2558," 10,000,000 ","ประกอบกิจการจำหน่ายเครื่องใช้ไฟฟ้า,เครื่องเสียงรวมทั้งบริการซ่อมและบำรุงรักษา",90 ถนนวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
57 ,0105558049439,บจ.นูโว (ไทยแลนด์) จำกัด,19/3/2558," 10,000,000 ",จำหน่ายอุปกรณ์ เครื่องควบคุม เครื่องจักรอุตสาหกรรมและระบบไฟฟ้าทุกชนิด ทุกประเภท,596/173 ถนนลาดปลาเค้า  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230
58 ,0105558052464,บจ.ไท โฮมช็อป จำกัด,24/3/2558," 10,000,000 ",ประกอบกิจการค้า ตัวแทนจำหน่าย ขายปลีกขายส่ง ติดตั้ง จัดส่ง ให้คำปรึกษา อุปกรณ์ระบบสุขภัณฑ์ สุขาภิบาล,638 ถนนประเสริฐมนูกิจ  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
59 ,0105558047436,บจ.ลูมบิแนร์ แอลอีดี จำกัด,17/3/2558," 10,000,000 ",ประกอบกิจการขายส่งอุปกรณ์สำหรับให้แสงสว่าง,1448/13 อาคารเค 5 ชั้น 1 ห้องเลขที่ 103 ซอยลาดพร้าว 87 (จันทราสุข)  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
60 ,0105558039344,บจ.แซด ไอพีทีวี จำกัด,3/3/2558," 10,000,000 ",การขายปลีกอุปกรณ์สำหรับการสื่อสารรับส่งทางวิทยุโทรทัศน์และการออกอากาศจานดาวเทียมเคเบิลทีวี,96/1 ถนนเฉลิมพระเกียรติ ร.9  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
61 ,0105558040008,บจ.กรีน เอ็นเนอร์ยี่ โกลด์ จำกัด,5/3/2558," 10,000,000 ",ประกอบกิจการติดตั้งและจำหน่ายแผงโซล่ารูฟ และโซล่าฟาร์ม,18/85 ซอยเฉลิมพระเกียรติร.9ซ.62  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
62 ,0105558044011,บจ.พีเออี เฟดเดอรัล อินเตอร์เนชั่นแนล จำกัด,11/3/2558," 10,000,000 ",ประกอบกิจการขายส่งเครื่องจักรและเครื่องมือเครื่องใช้อื่นๆ,69 ซอยอ่อนนุช 64 ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
63 ,0105558056893,บจ.เหมราช รีท แมนเนจเม้นท์ จำกัด,31/3/2558," 10,000,000 ",ประกอบธุรกิจเป็นผู้จัดการกองทรัสต์ เพื่อการลงทุนในอสังหาริมทรัพย์,9 อาคารยูเอ็มทาวเวอร์ ชั้น 18 ถนนรามคำแหง  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
64 ,0105558041179,บจ.เวเลอร์ เฮลธ์ จำกัด,6/3/2558," 10,000,000 ",ประกอบกิจการค้า ผลิต จำหน่าย นำเข้าส่งออก ยา ยารักษาโรค เภสัชภัณฑ์ เคมีภัณฑ์ เครื่องมือแพทย์เครื่องม,41 ซอยเชษฐา  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
65 ,0105558043333,บจ.เอสซีเอ็น พรีซิชั่น อินดัสเตรียล (ไทยแลนด์) จำกัด,10/3/2558," 10,000,000 ",ประกอบกิจการผลิตรับทำโมลด์ชิ้นงานต่างๆ,3 ซอยลาซาล 44  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
66 ,0105558047835,บจ.เอ็มลิ้งค์ เอ็นเนอร์ยี จำกัด,17/3/2558," 10,000,000 ",ประกอบกิจการค้าเพื่อลงทุน ร่วมลงทุน หรือพัฒนาการค้าธุรกิจเกี่ยวกับพลังงาน หรือโครงการพลังงานในอนาคต,73 อาคารเอ็มลิ้งค์ ซอยสุขุมวิท 62 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
67 ,0105558056265,บจ.ฮามาโช คอร์ปอเรชั่น (ประเทศไทย) จำกัด,30/3/2558," 10,000,000 ",ประกอบกิจการค้าเครื่องจักร เครื่องยนต์เครื่องกลเครื่องทุ่นแรง เครื่องบำบัดน้ำเสีย และเครื่องกำจัดขยะ,825 ถนนบางนา-ตราด กม.4  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
68 ,0105558043309,บจ.ติ่ม ซำ วันเดอร์แลนด์ จำกัด,10/3/2558," 10,000,000 ",บริการด้านอาหาร,199 อาคารคอลัมน์ทาวเวอร์ ชั้น 12A ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
69 ,0105558045735,บจ.ทรีดีฟู้ดแอนด์เบฟเวอเรจ จำกัด,13/3/2558," 10,000,000 ",ประกอบกิจการให้บริการด้านอาหารและเครื่องดื่มทุกประเภทในภัตตาคาร,259/13 ถนนสุขุมวิท 71  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
70 ,0105558050852,บจ.บีร็อค บราเธอร์ส จำกัด,20/3/2558," 10,000,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ไนท์คลับ ร้านอาหารญี่ปุ่น,283/1 ชั้น บี อาคารโฮมเพลส ห้องเลขที่ บี01 ซอยสุขุมวิท 55 (ทองหล่อ) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
71 ,0105558048238,บจ.ซิมเพิ้ล ฟู้ดส์ จำกัด,18/3/2558," 10,000,000 ",ประกอบกิจการค้าขายหรือผลิตเครื่องดื่มและอาหาร,137 ซอยเย็นอากาศ 2  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
72 ,0105558051930,บจ.ทรี ทูเก็ตเตอร์ จำกัด,24/3/2558," 9,000,000 ",ประกอบกิจการด้านร้านอาหารรวมทั้งการรับจัดงานอีเว้นท์ต่างๆ,51/10 ซอยโรงเรียนพงษ์เวชอนุสรณ์  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
73 ,0105558038909,บจ.ทีจีทีเค ซันโกลด์ จำกัด,2/3/2558," 8,500,000 ",อุตสาหกรรมแปรรูปผลไม้,81/98 หมู่ที่ 9  แขวงลำผักชี เขตหนองจอก กรุงเทพมหานคร 10530
74 ,0105558051433,บจ.สยามพิวรรธน์ รีเทล โฮลดิ้ง จำกัด,23/3/2558," 8,000,000 ",เป็นผู้ถือหุ้นลงทุนในบริษัทจำกัดและบริษัทมหาชนจำกัด,989 อาคารสยามทาวเวอร์ ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
