นิติบุคคลจัดตั้งเดือนตุลาคม  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
17,0105558165153,บจ.ไทยธุรกิจเพื่อสังคม จำกัด,13/10/2558," 100,000,000 ",ประกอบกิจการ บริการ ผลิต จำหน่าย ผลิตภัฑณ์พลังงานไฟฟ้าจากแสงอาทิตย์โรงงานผลิตไฟฟ้า ผลิตการกระแสไฟฟ้า,154/118 อาคารเฟิร์ส ทาวเวอร์ ซอยสุขุมวิท 1 (รื่นฤดี ) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
18,0105558174250,บจ.ควีน โฟรเซ่น ฟรุต จำกัด,30/10/2558," 100,000,000 ",ประกอบกิจการส่งออกไปจำหน่ายยังต่างประเทศซึ่งสินค้าตามที่กำหนดไว้ในวัตถุที่ประสงค์,113 ซอยพัฒนาการ 56 ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
19,0105558159277,บจ.ไทย ไปป์ไลน์ เน็ตเวิร์ค จำกัด,1/10/2558," 100,000,000 ",ประกอบธุรกิจขนส่งน้ำมันโดยระบบขนส่งทางท่อ ขนส่ง และขนถ่ายน้ำมันทั้งภายในและระหว่างประเทศ,88 ถนนเดอะพาร์คแลนด์  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,,
20,0105558172249,บจ.เอสทีที โซล่าร์ เอนเนอร์จี จำกัด,27/10/2558," 80,000,000 ",ผลิตและจำหน่ายกระแสไฟฟ้าจากพลังงานแสงอาทิตย์,59/51 ซอยรามอินทรา 5 แยก 3-2  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
21,0105558164203,บจ.เอ็มยูแอล (ประเทศไทย) จำกัด,12/10/2558," 60,000,000 ",ประกอบธุรกิจการให้เช่า เช่าซื้อสังหาริมทรัพย์และอสังหาริมทรัพย์ทุกประเภท ทั้งแบบการให้เช่าซื้อทั่วไป,173/35 อาคารเอเซีย เซ็นเตอร์ ชั้นที่ 26 ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
22,0105558163410,บจ.เอสดี เรสซิเดนซ์ จำกัด,9/10/2558," 60,000,000 ",ประกอบกิจการซื้อ เช่า หรือให้ได้มาด้วยประการอื่นๆซึ่งที่ดินเพื่อกิจการของบริษัท และทำการปลูกสร้างอาค,61 ซอยพระรามที่ 2 ซอย 7  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150,,
23,0105558167156,บจ.สถานีวิทยุจราจรเพื่อสังคม จำกัด,16/10/2558," 50,000,000 ",ออกอากาศทางวิทยุกระจายเสียงและผ่านทางออนไลน์ ธุรกิจด้านสื่อดิจิตอลทุกประเภท,33-35 ถนนพิษณุโลก  แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300,,
24,0105558169370,บจ.รอยัล นาคา รีสอร์ท จำกัด,20/10/2558," 50,000,000 ",ประกอบกิจการบริการด้านโรงแรม,681/8 ถนนหลวงแพ่ง  แขวงทับยาว เขตลาดกระบัง กรุงเทพมหานคร 10520,,
25,0105558171293,บจ.เฟอร์รั่ม แคปปิตอล จำกัด,26/10/2558," 50,000,000 ",การให้สินเชื่อประเภทอื่น ซึ่งมิได้จัดประเภทไว้ในที่อื่น,73 อาคารเอ็มลิ้งค์ ซอยสุขุมวิท 62 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,,
26,0105558173261,บจ.พระรามสี่ พร็อพเพอร์ตี้ส์ จำกัด,28/10/2558," 45,000,000 ",ซื้อ ขาย และพัฒนาอสังหาริมทรัพย์,48/5 ซอยรุ่งเรือง  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
27,0105558166796,บจ.บ้านภูริปุรี จำกัด,15/10/2558," 40,000,000 ",ประกอบกิจการซื้อ ขาย เช่า ที่ดิน ที่ดินพร้อมสิ่งปลูกสร้าง รวมถึงอสังหาริมทรัพย์ทุกประเภท,1097/8 ถนนนครไชยศรี  แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300,,
28,0105558164181,บจ.อาร์ซีไอ ซันลิท แอดวานซ์ เคมิคอล จำกัด,12/10/2558," 40,000,000 ",การขายส่งเคมีภัณฑ์ทางอุตสาหกรรม,24 ถนนพระราม1  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330,,
29,0105558169884,บจ.ดีเค แกรนด์ จำกัด,21/10/2558," 40,000,000 ",ประกอบกิจการให้เช่าอพาร์เมนท์,200/16 ถนนพระรามที่6  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,,
30,0105558169663,บจ.แอลบี อีวี จำกัด,21/10/2558," 40,000,000 ",ผลิต ประกอบ จำหน่าย นำเข้าส่งออก การให้บริการหลังการขาย ยานยนต์ไฟฟ้า รถยนต์ รถโดยสารรถบรรทุก รถตู้,102 ถนนณ ระนอง  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
31,0105558171650,บจ.จิงโกะโซลาร์ (ไทยแลนด์) จำกัด,26/10/2558," 40,000,000 ",ประกอบกิจการผลิตและจำหน่ายไฟฟ้าให้กับการไฟฟ้าส่วนภูมิภาค การไฟฟ้านครหลวง การไฟฟ้าฝ่ายผลิตแห่งประเทศไ,1 อาคารเอ็มไพร์ ทาวเวอร์ ชั้น 47 ห้องเลขที่ 4703 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,,
32,0105558158599,บจ.แกรนด์ลิงค์ ลอจิสติคส์ จำกัด,1/10/2558," 31,000,000 ",ประกอบกิจการบริหารสำนักงาน,79/336 ถนนสาธุประดิษฐ์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
33,0105558162090,บจ.ทรีโอ 72 จำกัด,7/10/2558," 30,000,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนต์คลับ รวมถึงกิจการบริการอาหารและเครื่องดื่ม,419/2 ซอยลาดพร้าว15  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
34,0105558172346,บจ.ทรี แดนซ์ โฮลดิ้งส์ จำกัด,27/10/2558," 30,000,000 ",ลงทุนและเข้าเป็นผู้ถือหุ้นในห้างหุ้นส่วน และเป็นผู้ถือหุ้นในบริษัทจำกัดหรือบริษัทมหาชนจำกัดอื่น,349 อาคารเอส เจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้น21 ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
35,0105558172109,บจ.สุขุมวิท 4 เรียลเอสเตท จำกัด,27/10/2558," 30,000,000 ",ประกอบกิจการค้า อสังหาริมทรัพยฺ์,95 ซอยสุขุมวิท 4 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
36,0105558158882,บจ.รามบุตรีรุ่งเรือง จำกัด,1/10/2558," 30,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์และสังหาริมทรัพย์ เพื่อให้เช่าหรือจำหน่าย,289 ถนนรามบุตรี  แขวงตลาดยอด เขตพระนคร กรุงเทพมหานคร 10200,,
37,0105558161310,บจ.จีทีเอ็ม จำกัด,6/10/2558," 27,000,000 ",ประกอบกิจการนำเข้า ขายส่ง ขายปลีก รถโฟล์ดลิฟท์ รถยกสินค้า เครื่องจักรกลรวมทั้งอะไหล่,677/1 ถนนลาดหญ้า  แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600,,
38,0105558172664,บจ.กรีน ทรี ดีเวลอปเมนท์ จำกัด,28/10/2558," 26,000,000 ",ประกอบกิจการซื้อขาย เช่า ให้เช่า อสังหาริมทรัพย์ จัดสรรที่ดินเปล่าหรือที่ดินพร้อมสิ่งปลูกสร้าง,1168/68 ถนนพระราม 4  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
39,0105558172371,บจ.บิลดิ้งส์ พอช จำกัด,27/10/2558," 25,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,522/12 ซอยรามคำแหง 39 (เทพลีลา 1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
40,0105558159200,บจ.เอส ดับบลิว เอส กรุ๊ป จำกัด,1/10/2558," 20,000,000 ",ประกอบกิจการค้า เครื่องเล่นและบันทึกเทปโทรทัศน์(วีดีโอเทป) เครื่องถ่ายเทปโทรทัศน์ กล้องถ่ายรูป,2152/1 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
41,0105558164360,บจ.ทิพภิรมย์ พร็อพเพอร์ตี้ จำกัด,12/10/2558," 20,000,000 ",ประกอบกิจการค้าที่ดิน จัดสรรที่ดิน และส้รางอาคารที่พักอาศัย,1771 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
42,0105558167997,บจ.ไทยเอเซีย อินเตอร์เนชั่นแนล คอนซัลแตนท์ จำกัด,19/10/2558," 20,000,000 ",ประกอบกิจการ ให้บริการที่ปรึกษาการบัญชี การเงิน,573/129 ซอยรามคำแหง 39 (เทพลีลา 1)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
43,0105558168101,บจ.บิ๊ก เฮ้าส์ แบ็งค็อค จำกัด,19/10/2558," 20,000,000 ",ประกอบกิจการให้เช่าสถานที่เพื่อจัดงานแสดงสินค้าและโฆษณาต่างๆ ทุกชนิด,138/1 ถนนเพชรบุรี  แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400,,
44,0105558161301,บจ.สเปกตรัม เอ็นเนอร์จี จำกัด,6/10/2558," 20,000,000 ",ประกอบกิจการค้าผลิตภัณฑ์โคมไฟฟ้า หลอดไฟฟ้า ขั้วรับหลอดไฟฟ้า บัลลาสต์ สตาร์ทเตอร์,3 อาคารทีบีไอ ทาวเวอร์ ห้อง4A ซอยสุขุมวิท 30 ถนนสุขุมวิท  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,,
45,0105558162715,บจ.เอสเอเอเอส จำกัด,8/10/2558," 20,000,000 ",ประกอบกิจการวิจัยและพัฒนา,2 ถนนนราธิวาสราชนครินทร์  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120,,
46,0105558172613,บจ.สระบุรี ดีเวลอปเมนท์ จำกัด,28/10/2558," 20,000,000 ",ประกอบกิจการซื้อ ขาย เช่า ให้เช่า อสังหาริมทรัพย์ จัดสรรที่ดินเปล่า,1168/68 ถนนพระราม 4  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,,
47,0105558172486,บจ.วิลล่า33 จำกัด,27/10/2558," 20,000,000 ",ประกอบกิจการโรงแรม ร้านอาหารและเครื่องดื่ม,87/487 ถนนกาญจนาภิเษก  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,,
48,0105558174616,บจ.ที เอส ยู เอ็ม พี จำกัด,30/10/2558," 20,000,000 ",ประกอบกิจการโฆษณา,42/75 ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
49,0105558166419,บจ.ผดุงฤทธิ์ขนส่ง จำกัด,15/10/2558," 14,750,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า รวมถึงคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ทั้งในและระหว่างประเทศ,11 ซอยประชาอุทิศ96  แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140,,
50,0105558167504,บจ.ผลิตภัณฑ์ ธรรมชาติ ทะเลภู จำกัด,16/10/2558," 12,500,000 ",ประกอบกิจการผลิตและจำหน่ายผลิตภัณฑ์ที่มีสารจากธรรมชาติ,23/81 อาคารสรชัย ห้องเลขที่ 23/81A ชั้นที่ 20 ซอยสุขุมวิท 63 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
51,0105558169132,บจ.วีว่า อีทเทอร์รี่ จำกัด,20/10/2558," 10,000,000 ",ประกอบกิจการค้าอาหารและเครื่องดื่ม รวมทั้งให้บริการจัดเลี้ยงตามงานอีเว้นท์ และงานนิทรรศการต่างๆ,642 ถนนรัชดาภิเษก (ท่าพระ-ตากสิน)  แขวงดาวคะนอง เขตธนบุรี กรุงเทพมหานคร 10600,,
52,0105558159099,บจ.ยูนิคอร์น เอ็นเตอร์ไพรส์ จำกัด,1/10/2558," 10,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,21 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
53,0105558161786,บจ.คีย์สโตน เอสเตท จำกัด,7/10/2558," 10,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,21 ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
54,0105558171251,บจ.เอซ พาวเวอร์ แคปปิตอล จำกัด,26/10/2558," 10,000,000 ",ประกอบกิจการลงทุนโดยเป็นผู้ถือหุ้นในบริษัทอื่น,55/133 ถนนกำแพงเพชร 6  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
55,0105558171277,บจ.อินไซต์ พาวเวอร์ แคปปิตอล จำกัด,26/10/2558," 10,000,000 ",ประกอบกิจการลงทุนโดยเป็นผู้ถือหุ้นในบริษัทอื่น,55/133 ถนนกำแพงเพชร 6  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
56,0105558172842,บจ.โซลาร์ อินไซต์ โซลูชัน จำกัด,28/10/2558," 10,000,000 ",ประกอบกิจการบริหารและจัดการโรงไฟฟ้าพลังงานแสงอาทิตย์,55/133 ถนนกำแพงเพชร 6  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
57,0105558172851,บจ.โซลาร์ เอซ โซลูชัน จำกัด,28/10/2558," 10,000,000 ",ประกอบกิจการบริหารและจัดการโรงไฟฟ้าพลังงานแสงอาทิตย์ ผลิตและจำหน่ายพลังงานไฟฟ้า,55/133 ถนนกำแพงเพชร 6  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
58,0105558160402,บจ.แบรนด์เวนเชอร์ จำกัด,5/10/2558," 10,000,000 ",ประกอบกิจการนำเข้าส่งออกและจำหน่ายปลีกและส่ง อาหารสำเร็จรูปแช่แข็งเสื้อผ้าสำเร็จรูป ของเล่นทุกชนิด,600/7 ซอยรามคำแหง 39 (เทพลีลา 1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
59,0105558163657,บจ.เอสวายอี กรีน เทคโนโลยี (ประเทศไทย) จำกัด,9/10/2558," 10,000,000 ",ประกอบกิจการผลิตและจำหน่ายไฟฟ้าให้แก่การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย การไฟฟ้านครหลวง การไฟฟ้าส่วนภูมิภาค,33/4 อาคารเดอะไนน์ทาวเวอร์ ตึกเอ ชั้น 35 ห้องทีเอ็นเอ 01-04 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
60,0105558164246,บจ.เพียวโฟส จำกัด,12/10/2558," 10,000,000 ",ผลิตและจำหน่ายไฟฟ้า (ผลิตและจำหน่ายกระแสไฟฟ้า)ภายในและภายนอกประเทศ,888/154 ซอยหมู่บ้านภานุช ถนนประชาราษฎร์บำเพ็ญ  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
61,0105558164289,บจ.แอดไวเซอรี่ วัน จำกัด,12/10/2558," 10,000,000 ",บริการที่ปรึกษา ธุรกิจรวมลงทุน การควบคุมรวมกิจการ การฟื้นฟูกิจการ,2884 ชั้น 6 อาคารมนูญผล 1 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
62,0105558166699,บจ.สตาร์ลีฟ อินเตอร์เนชั่นแนล จำกัด,15/10/2558," 10,000,000 ",ประกอบธุรกิจในการดำเนินการถ่ายทอด เผยแพร่ ออกอากาศ กระจายเสียง ภาพ โสด โปรแกรม ซอฟต์แวร์,553 ชั้นที่ 15 ห้องเลขที่ 1503 ถนนราชปรารภ  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400,,
63,0105558170858,บจ.เคอรี่ ซีทีไอ โลจิสติคส์ โซลูชั่นส์ จำกัด,22/10/2558," 10,000,000 ",ประกอบกิจการรับขนส่งและขนถ่ายสินค้า และคนโดยทั้งทางบก ทางน้ำ ทางอากาศ ทั้งภายในและระหว่างประเทศ,89 อาคารเจ้าพระยาทาวเวอร์ ชั้น 8 ห้อง 803-804 ซอยวัดสวนพลู ถนนเจริญกรุง  แขวงบางรัก เขตบางรัก กรุงเทพมหานคร 10500,,
64,0105558159404,บจ.ทีวีแอลเค จำกัด,1/10/2558," 10,000,000 ",ประกอบกิจการบริการให้คำปรึกษาแนะนำด้านการบริหารงาน การให้บริการลูกค้า การเงินและบัญชี พาณิชยกรรม,10/95-9 อาคารเดอะ เทรนดี้ ชั้น 6 ซอยสุขุมวิท 13 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
65,0105558163649,บจ.ทีเอ็ม โชว์ คอร์ป จำกัด,9/10/2558," 10,000,000 ",ประกอบธุรกิจเป็นตัวแทนนายหน้าบริการจำหน่ายและรับตั๋วจองเครื่องบินทั้งในและต่างประเทศบริการรับจองห้อง,140 อาคารวัน แปซิฟิค เพลส ชั้น17 ห้องเลขที่ 1706 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
66,0105558164939,บจ.ชิวสุ่ย จำกัด,13/10/2558," 10,000,000 ",ประกอบกิจการบริการค้นคว้า วิจัย ออกแบบ พัฒนา ทดสอบ ติดตั้ง เกี่ยวกับระบบคอมพิวเตอร์,446/73 ชั้นที่1 อาคารปาร์คอเวนิว 2 ถนนสุขุมวิท 71  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
67,0105558165838,บจ.ไทยโฮมฟู้ด (กรุงเทพฯ) จำกัด,14/10/2558," 10,000,000 ",จำหน่ายอาหารจานด่วนประเภทก๋วยเตี๋ยว,257/5 ถนนสุขุมวิท71  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
68,0105558166656,บจ.อาร์เอ วีเอเอเอสเอส จำกัด,15/10/2558," 10,000,000 ",ประกอบกิจการจำหน่ายอาหารและเครื่องดื่มทุกประเภท รวมทั้งสุรา เบียร์ และบุหรี่ ทั้งในและต่างประเทศ,8/21 ซอยสุขุมวิท 3 (นานาเหนือ) ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
69,0105558169868,บจ.ลีโอ คอมปะนี จำกัด,21/10/2558," 10,000,000 ",ประกอบกิจการ ซื้อ ขาย แลกเปลี่ยน เช่า ให้เช่า เช่าซื้อ ที่ดิน อาคาร อาคารสงเคราะห์ อาคารชุด บ้าน,316/20-21 ซอยสุขุมวิท 22 (สายน้ำทิพย์) ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
70,0105558162880,บจ.อินเตอร์เนชั่นแนล เอ็นจิเนียริ่ง โซลูชั่น จำกัด,8/10/2558," 10,000,000 ",ประกอบกิจการโรงงานผลิตชิ้นส่วน อุปกรณ์ เครื่องมือ เครื่องจักร,163 ถนนประชาร่วมใจ  แขวงทรายกองดินใต้ เขตคลองสามวา กรุงเทพมหานคร 10120,,
71,0105558158769,บจ.วีพีพี พร๊อพเพอร์ตี้ จำกัด,1/10/2558," 10,000,000 ",ประกอบธุรกิจปลูกสร้าง อาคารชุด,90 ถนนวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220,,
72,0105558163487,บจ.อาร์ สแควร์ (1986) จำกัด,9/10/2558," 10,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,555 ซอยประเสริฐมนูกิจ 33  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
73,0105558165625,บจ.มาสเทค กรีน จำกัด,14/10/2558," 10,000,000 ",การผลิตเครื่องมือที่ใช้งานด้วยมือและเครื่องโลหะทั่วไปซึ่งมิได้จัดประเภทไว้ในที่อื่น,603/20 หมู่บ้านเดอะทรัสต์ ซิตี้ ถนนนวลจันทร์  แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230,,
74,0105558170793,บจ.โปรพลัส เอ็นเนอร์ยี่ จำกัด,22/10/2558," 10,000,000 ",ประกอบกิจการขนส่งผลิตภัณฑ์ปิโตรเลียม,599/170 ถนนลาดปลาเค้า  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
