นิติบุคคลจัดตั้งเดือนพฤศจิกายน  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
24,0105558178361,บจ.เทสโก้ เอ็นเนอร์ยี่ (โครงการ 7) จำกัด,9/11/2558," 30,000,000 ",ประกอบกิจการผลิตและจำหน่ายไฟฟ้าพลังงานชีวภาพ ขยะ พลังงานแสงอาทิตย์ พลังงานลม,128/127 อาคารพญาไท พลาซ่า ห้องซี ชั้นที่ 12 ถนนพญาไท  แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,,
25,0105558177771,บจ.เอสอีเอพีเอส (ประเทศไทย) จำกัด,6/11/2558," 25,000,000 ",จัดหา ซื้อ โอน แจกจ่าย ซึ่งวัตถุดิบ เครื่องจักร เครื่องมือ อะไหล่ และวัสดุอื่นๆ,33/4 อาคารเดอะไนน์ ทาวเวอร์ แกรนด์ พระราม 9 ตึก เอ ชั้น 15 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
26,0105558179391,บจ.บริหารสินทรัพย์ กรุงเทพจรัญ จำกัด,10/11/2558," 25,000,000 ",ประกอบกิจการบริหารสินทรัพย์,267 ถนนจรัญสนิทวงศ์  แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,,
27,0105558177526,บจ.ร่วมพัฒนาทรัพย์สิน จำกัด,6/11/2558," 20,000,000 ",รับจัดสวนดอกไม้ ต้นไม้,549/2 ซอยแสงสุข ถนนสาธุประดิษฐ์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
28,0105558177607,บจ.สุขมงคลแลนด์ จำกัด,6/11/2558," 20,000,000 ",ประกอบกิจการค้าและจัดสรรที่ดิน ปลูกสร้างอาคารเพื่อขายและให้เช่า,389 ถนนทวีวัฒนา-กาญจนาภิเษก  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
29,0105558177615,บจ.สุขทรัพย์แลนด์ จำกัด,6/11/2558," 20,000,000 ",ประกอบกิจการค้าและจัดสรรที่ดิน ปลูกสร้างอาคารเพื่อขายและให้เช่า,389 ถนนทวีวัฒนา-กาญจนาภิเษก  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
30,0105558175507,บจ.กรีน วอเตอร์ เอ็นจิเนียริ่ง จำกัด,3/11/2558," 20,000,000 ",ประกอบกิจการเกี่ยวกับการบริหารจัดการน้ำ,40 ถนนอุดมสุข  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250,,
31,0105558179693,บจ.บีเอสอาร์ ดีเวลลอปเม้นท์ จำกัด,11/11/2558," 20,000,000 ",ประกอบกิจการให้เช่า เช่า โรงแรม อพาร์ทเม้นท์ อพาร์ทเม้นท์เซอร์วิส คอนโดมิเนียม,134/14 ซอยลาดพร้าว 80 (จันทิมา)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
32,0105558184051,บจ.ผิวดีคลินิก เอสเธติคส์ จำกัด,19/11/2558," 20,000,000 ",ประกอบกิจการสถานเสริมความงาม,53 ซอยประชานุกูล 3 ซอย 2  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
33,0105558176198,บจ.อินโนเวทีฟ แทรฟฟิค แมเนจเมนท์ จำกัด,4/11/2558," 20,000,000 ",ประกอบกิจการจำหน่ายวัสดุปูพื้นผิวถนนแบบเย็น,10/22-23 ชั้นที่ 2 ซอยประวิทย์และเพื่อน  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
34,0105558176732,บจ.มิคูนิ เทรดดิ้ง เอเชีย (ประเทศไทย) จำกัด,4/11/2558," 10,000,000 ",ประกอบกิจการนำเข้าและส่งออกชิ้นส่วนที่ใช้ในเครื่องจักร อะไหล่เครื่องมือไฟฟ้า,32/28 อาคารชิโน-ไทย ทาวเวอร์ ชั้นที่ 14 ถนนสุขุมวิท 21(อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
35,0105558177780,บจ.เจ.เอส.เอ็ม.ซี. พร็อพเพอร์ตี้ จำกัด,6/11/2558," 10,000,000 ",ประกอบกิจการซื้อ ขาย เช่า ให้เช่า เช่าซื้อ  จำนอง ที่ดิน พร้อมสิ่งปลูกสร้างบ้านพักศัย,20/75 ซอยพร้อมมิตร ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
36,0105558178107,บจ.เอ็กซ์เพรส ฟู๊ด กรุ๊ป จำกัด,6/11/2558," 10,000,000 ",ประกอบกิจการให้บริการสนับสนุนแก่วิสหกิจในเครือ หรือสาขาของตนไม่ว่าจะตั้งอยู่ในประเทศหรือต่างประเทศ,283/74 อาคารโฮมเพลสออฟฟิศบิลดิ้ง ชั้นที่ 15 ซอยสุขุมวิท 55 (ทองหล่อ 13) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
37,0105558178646,บจ.ซิโน-ไทย ฟรีซ แอนด์ ดราย จำกัด,9/11/2558," 10,000,000 ",ประกอบกิจการผลิตผักผลไม้แช่เยือกแข็ง ทำแห้งแบบแช่เยือกแข็ง,12/2 ซอยวัดราชสิงขร  แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพมหานคร 10120,,
38,0105558181205,บจ.มาร์คอัพ คอร์เปอร์เรชั่น จำกัด,13/11/2558," 10,000,000 ",ประกอบกิจการโรงงานผลิต และจัดจำหน่าย ค้าปลีก ค้าส่ง เครื่องสำอาง,1/1 ซอยอนามัยงามเจริญ 33 แยก 1  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
39,0105558180608,บจ.ซีเอชเอส เอสเตท จำกัด,12/11/2558," 10,000,000 ",ประกอบกิจการให้บริการเช่า ที่ดิน อาคาร,1489 ถนนเพชรเกษม  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,,
40,0105558177917,บจ.อาร์ทีเอ็นซี กรุ๊ป (ประเทศไทย) จำกัด,6/11/2558," 10,000,000 ",ประกอบกิจการเป็นสาขา และผู้แทนของผู้ผลิตประจำประเทศไทย ในการนำเข้า จำหน่าย,108/42 ซอยประเสริฐมนูกิจ 29 ถนนประเสริฐมนูกิจ  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,,
41,0105558175272,บจ.มายเน็ตเวิร์ค แอนด์ โซลูชั่น จำกัด,2/11/2558," 10,000,000 ",ประกอบกิจการให้บริการ และลงทุนในธุรกิจ,19 ซอยรามคำแหง 22 (จิตตรานุเคราะห์) ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,,
42,0105558179740,บจ.เอ็นเนอร์ยี เอ็มไพร์ จำกัด,11/11/2558," 10,000,000 ","ผลิตไฟฟ้า,พลังงานทดแทนทุกชนิด เพื่อใช้และจำหน่ายให้กับรัฐ,หน่วยงานรัฐเอกชนและอื่นๆทั้งในและต่างประเท",69 ซอยอ่อนนุช12 ถนนสุขุมวิท77  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
43,0105558184166,บจ.สยาม อัลเทอร์เนทีฟ เอ็นเนอร์จี (ประเทศไทย) จำกัด,20/11/2558," 10,000,000 ",ประกอบกิจการด้านพลังงานทดแทนเพื่อผลิตกระแสไฟฟ้าจากขยะ,333 ถนนอ่อนนุช  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
44,0105558175515,บจ.หนองปรือ โซลาร์ฟาร์ม จำกัด,3/11/2558," 10,000,000 ",ประกอบกิจการการผลิตและจำหน่ายกระแสไฟฟ้าทั้งปลีกและส่ง,1758/3 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,,
45,0105558175612,บจ.หลุมรังโซลาร์ฟาร์ม จำกัด,3/11/2558," 10,000,000 ",ประกอบกิจการการผลิตและจำหน่ายกระแสไฟฟ้าทั้งปลีกและส่ง,1758/3 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,,
46,0105558175639,บจ.สมเด็จเจริญโซลาร์ฟาร์ม จำกัด,3/11/2558," 10,000,000 ",ประกอบกิจการการผลิตและจำหน่ายกระแสไฟฟ้าทั้งปลีกและส่ง,1758/3 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,,
47,0105558175124,บจ.โรกิ เอเชีย แปซิฟิก เทรดดิ้ง จำกัด,2/11/2558," 10,000,000 ",กิจการเป็นศูนย์จัดหาซื้อชิ้นส่วน ตามที่ได้รับการส่งเสริมการลงทุน,91/1 อาคารไชโย ชั้นที่ 11 ห้องเลขที่ 1102 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
48,0105558175850,บจ.เสนา กรีน เอนเนอร์ยี่ 2 จำกัด,3/11/2558," 10,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
49,0105558175868,บจ.เสนา กรีน เอนเนอร์ยี่ 3 จำกัด,3/11/2558," 10,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
50,0105558175906,บจ.เสนา กรีน เอนเนอร์ยี่ 1 จำกัด,3/11/2558," 10,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจและหน่ายงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
51,0105558175914,บจ.เสนา กรีน เอนเนอร์ยี่ 4 จำกัด,3/11/2558," 10,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
52,0105558177241,บจ.เสนา กรีน เอนเนอร์ยี่ 6 จำกัด,5/11/2558," 10,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
53,0105558177275,บจ.เสนา กรีน เอนเนอร์ยี่ 5 จำกัด,5/11/2558," 10,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
54,0105558177283,บจ.เสนา กรีน เอนเนอร์ยี่ 7 จำกัด,5/11/2558," 10,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
55,0105558178476,บจ.เสนา กรีน เอนเนอร์ยี่ 8 จำกัด,9/11/2558," 10,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานื่อน,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
56,0105558178484,บจ.เสนา กรีน เอนเนอร์ยี่ 9 จำกัด,9/11/2558," 10,000,000 ",ทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
57,0105558178522,บจ.เสนา กรีน เอนเนอร์ยี่ 10 จำกัด,9/11/2558," 10,000,000 ",ผลิตและจำหน่ายกระแสไฟฟ่้าให้แก่รัฐ รัฐวิสาหกิจ และหน่ายงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
58,0105558179073,บจ.เสนา กรีน เอนเนอร์ยี่ 12 จำกัด,10/11/2558," 10,000,000 ",ทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
59,0105558179090,บจ.เสนา กรีน เอนเนอร์ยี่ 11 จำกัด,10/11/2558," 10,000,000 ",ประกอบกิจการทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงายอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
60,0105558179154,บจ.เสนา กรีน เอนเนอร์ยี่ 15 จำกัด,10/11/2558," 10,000,000 ",การผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
61,0105558179162,บจ.เสนา กรีน เอนเนอร์ยี่ 14 จำกัด,10/11/2558," 10,000,000 ",ทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจ และหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
62,0105558179171,บจ.เสนา กรีน เอนเนอร์ยี่ 13 จำกัด,10/11/2558," 10,000,000 ",ทำการผลิตและจำหน่ายกระแสไฟฟ้าให้แก่รัฐ รัฐวิสาหกิจและหน่วยงานอื่น,484 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
63,0105558185227,บจ.อีส แอม อาร์ ดอทเน็ท จำกัด,23/11/2558," 10,000,000 ",ประกอบธุรกิจบริการเอเจนซี่โฆษณาประชาสัมพันธ์ เผยแพร่ข่าวสาร บริการวางแผนและดำเนินการโฆษณาทางสื่อออน,33 ซอยศูนย์วิจัย 4  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
64,0105558186037,บจ.โกลบอล เอ็นคอร์ โฮลดิ้งส์ จำกัด,24/11/2558," 10,000,000 ",ประกอบกิจการ ซื้อ ขาย รับจำนอง รับขายฝาก รับไถ่ถอน บ้าน ที่ดินรวมถึงอสังหาริมทรัพย์ทุกประเภท,286 ห้องเลขที่ เอฟ (F) ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
65,0105558187289,บจ.ลิ้ม สุกาญจนพงษ์ จำกัด,26/11/2558," 10,000,000 ",ประกอบธุรกิจโดยการถือหุ้น ลงทุน หรือเข้าควบคุมกิจการในบริษัทอื่นทั้งในประเทศและต่างประเทศ,924 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
66,0105558177518,บจ.เคมปินสกี้ โฮเต็ลส์ อินเตอร์เนชั่นแนล จำกัด,6/11/2558," 10,000,000 ",การบริหารสำนักงานบริการสนับสนุนสำนักงานและบริการสนับสนุนทางธูรกิจอื่นๆ,991/9 ถนนพระราม 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,,
67,0105558178689,บจ.โปรโม เทค ไอเอชคิว จำกัด,9/11/2558," 10,000,000 ",ประกอบกิจการดูแลกิจการของสาขาหรือบริษัทในเครือ ด้านบริหารงานทั่วไป การวางแผนทางการธุรกิจ ประสานงานธุ,208 อาคาร208 วายเลสโร้ด ชั้นที่ 5 ห้องเลขที่ 504 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
68,0105558183160,บจ.เพซ ครีเอทีฟ เอเจนซี่ จำกัด,18/11/2558," 10,000,000 ",ประกอบกิจการให้บริการด้านโฆษณา,87/2 ซีอาร์ซี ทาวเวอร์ ออลซีซั่นเพลส ชั้น 45 ยูนิต 3 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
69,0105558181698,บจ.ชูโอ เซโคะ (ประเทศไทย) จำกัด,16/11/2558," 10,000,000 ",ประกอบธุรกิจนำเข้าส่งออก จำหน่าย จัดหา จัดซื้อ สินค้า วัตถุดิบ ส่วนประกอบและชิ้นส่วนสำหรับอุตสาหกรรม,152 อาคารชาร์เตอร์ สแควร์ ห้องเลขที่ 16-04 ชั้นที่ 16 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
70,0105558184204,บจ.ไบซัน คอนสตรัคชั่น จำกัด,20/11/2558," 10,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร,137/47 ซอยลาดพร้าว 41 ถนนลาดพร้าว  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
71,0105558188471,บจ.ไพร์ม แอเรีย 38 จำกัด,30/11/2558," 10,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์,21 อาคารทีเอสที ซอยเฉยพ่วง ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
72,0105558185979,บจ.ไทยพิพัฒน์อิมปอร์ต จำกัด,24/11/2558," 8,000,000 ",ประกอบกิจการค้าเกี่ยวกับของใช้ที่ทำด้วยเหล็ก ทองเหลืองสแตนเลส,95/10-11 ตรอกโปริสภา ถนนเจริญกรุง  แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,,
