นิติบุคคลจัดตั้งเดือนพฤษภาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
13,0107558000237,บมจ.ไอที กรีน จำกัด (มหาชน),15/5/2558," 50,000,000 ",ประกอบกิจการผลิต หรือนำเข้าและส่งออก หรือเป็นตัวแทนจำหน่าย เครื่องคอมพิวเตอร์,23/106-108 ซอยศูนย์วิจัย ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
14,0105558077289,บจ.รอยัล พาราไดซ์ ภูเก็ต จำกัด,8/5/2558," 50,000,000 ",ขายปลีกขายส่งเครื่องประดับของที่ระลึกกระเป๋าของฝากจำหน่ายเพชรพลอยอัญมณีทองเงินนาฬิกา,880/8 ถนนหลวงแพ่ง  แขวงทับยาว เขตลาดกระบัง กรุงเทพมหานคร 10520
15,0105558079486,บจ.เจริญพาวเวอร์ จำกัด,14/5/2558," 35,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทเอกชนและบริษัทมหาชน,388 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
16,0105558076894,บจ.ไทยอุดม อโกร อินดัสทรี จำกัด,8/5/2558," 30,000,000 ",ประกอบกิจการโรงงานสกัดน้ำมันปาล์ม,74 ซอยโชคชัย 4 ซอย 50 ถนนโชคชัย 4  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
17,0105558082614,บจ.ไจแอนท์ แพนกรุ๊ป จำกัด,20/5/2558," 30,000,000 ",ประกอบกิจการให้บริการเป็นผู้รับจ้างภายนอกเกี่ยวกับงานบริการทุกประเภทภายในท่าอากาศยาน,22/111 ถนนมอเตอร์เวย์  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
18,0105558077386,บจ.ยูนเฟง รับเบอร์ (ประเทศไทย) จำกัด,11/5/2558," 30,000,000 ",ประกอบกิจการโรงงานผลิตยาง ยางแท่ง ยางผสม น้ำยางชัน และผลิตภัณฑ์ขั้นพื้นฐาน,100/489 หมู่บ้านชัยพฤกษ์ 1 ซอยคุ้มเกล้า 7 แยก 10/1 ถนนคุ้มเกล้า  แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520
19,0105558078455,บจ.ทรี ซีซั่น โฮลดิ้ง จำกัด,12/5/2558," 20,000,000 ",การเช่าและดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่ที่พักอาศัยฯลฯ,127/9 ซอยเจริญใจ ถนนสุขุมวิท 71  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
20,0105558088418,บจ.เดอะ บราเธอร์ส ดีเวลลอปเม้นท์ จำกัด,29/5/2558," 20,000,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์  และให้บริการเฟอร์นิเจอร์,582/14 ซอยสุขุมวิท 63 (เอกมัย) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
21,0105558087306,บจ.ฮอนด้า ลักซ์ ออโตโมบิล จำกัด,27/5/2558," 20,000,000 ",ประกอบกิจการขายรถยนต์ใหม่ รถยนต์เก่า,4 ซอยประชาอุทิศ 13  แขวงราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140
22,0105558089058,บจ.วายทีซีโฮลดิ้ง จำกัด,29/5/2558," 20,000,000 ",กิจกรรมของบริษัทโฮลดิ้งที่ไม่ได้ลงทุนในธุรกิจการเงินเป็นหลัก,9/89 ถนนราชพฤกษ์  แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170
23,0105558081871,บจ.ศิภา เรียลเอสเตท จำกัด,19/5/2558," 20,000,000 ",ซื้อที่ดินแปลงใหญ่แล้วแบ่งแยกเป็นแปลงเล็กๆ โดยมีหรือไม่มีสิ่งปลูกสร้าง เพื่อขาย ให้เช่า บริการ,19/473 หมู่ที่ 5 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
24,0105558088795,บจ.คาแรคเตอร์ ช้อป แอนด์ คาเฟ่ จำกัด,29/5/2558," 20,000,000 ",กิจการร้านอาหาร ร้านเครื่องดื่ม ร้านกาแฟ ร้านกาแฟ ร้านเบเกอรี่ ร้านไอศกรีม ภัตตาคาร บริการจัดเลี้ยง,154 ซอยลาดพร้าว 107 ถนนลาดพร้าว  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
25,0105558074964,บจ.เชียงใหม่ เวสท์ทูเพาเวอร์ จำกัด,6/5/2558," 20,000,000 ",กิจการผลิตจำหน่ายปรับปรุงคุณภาพขยะและวัสดุที่เหลือใช้แล้วทุกชนิดเพื่อเป็นพลังงานหรือวัตถุดิบทดแทน,73 อาคารเอ็มลิ้งค์ ซอยสุขุมวิท 62 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
26,0105558076045,บจ.แม่ฮ่องสอน นิเซโกะ จำกัด,7/5/2558," 20,000,000 ",การจัดที่พัก โรงแรมสำหรับผู้ที่มาพักแรม การให้บริการอาหารและเครื่องดื่ม รวมถึงให้บริการอื่นๆ,24 อาคารเอกผล ถนนวิภาวดีรังสิต  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
27,0105558080841,บจ.ซังโค ซังเกียว (บางกอก) จำกัด,18/5/2558," 20,000,000 ",รับผลิต รับจ้างผลิต ฉลากกำกับสินค้า แบบพิมพ์ ฉลากและสติ๊กเกอร์สำหรับตกแต่งบนอุปกรณ์สินค้า,138 อาคารบุญมิตร ชั้น 8 ห้อง บี8 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
28,0105558082908,บจ.เฮง พร็อพเพอร์ตี้ จำกัด,20/5/2558," 20,000,000 ",การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็น ของตนเองหรือเช่าจากผู้อื่นเพื่อเป็นที่พักอาศัย,1867/122 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600
29,0105558088787,บจ.ทีเอ็นที แคปปิตอล จำกัด,29/5/2558," 10,000,000 ",ให้บริการเป็นที่ปรึกษาและให้คำแนะนำทางด้านธุรกิจ,170/37 อาคารโอเชี่ยนทาวเวอร์ 1 ชั้นที่ 13 ซอยสุขมวิท16(สามมิตร) ถนนรัชดาภิเษก  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
30,0105558080832,บจ.สตาร์ แมเนจเมนท์ จำกัด,18/5/2558," 10,000,000 ",ประกอบกิจการเป็นผู้ถือหุ้นในบริษัทจำกัด บริษัทมหาชนจำกัด,729/58 ตรอกวัดจันทร์ใน  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120
31,0105558085010,บจ.81 เรสซิเดนซ์ จำกัด,22/5/2558," 10,000,000 ",ประกอบกิจการค้าให้เช่าที่ดินอาคารที่พักอาศัยอาคารคลังสินค้าอาคารโรงงานอุตสาหกรรมหรือสังหาริมทรัพย์,81 ซอยพุทธมณฑลสาย 1 ซอย 6  แขวงคลองขวาง เขตภาษีเจริญ กรุงเทพมหานคร 10160
32,0105558086237,บจ.ยูนิเวอแซล พาวเวอร์ กรุ๊ป จำกัด,26/5/2558," 10,000,000 ",ผลิตพลังงานไฟฟ้าด้วยระบบพลังงานแสงอาทิตย์ พลังงานน้ำ คลื่น ความร้อนในพิภพ ชีวมวล ก๊าซชีวภาพ,14 ซอยราพฤกษ์ 18  แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170
33,0105558085346,บจ.ดีพลัส เซ็นเตอร์ จำกัด,25/5/2558," 10,000,000 ",ประกอบกิจการให้เช่า เช่าซื้อ ขายฝาก รับจำนองจำนำอสังหาริมทรัพย์ทุกประเภท,4/199 ซอยลาดปลาเค้า 66  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
34,0105558080735,บจ.เมทราไบต์ ดาต้าเซ็นเตอร์ จำกัด,15/5/2558," 10,000,000 ",ประกอบกิจการให้เช่าคอมพิวเตอร์ แม่ข่าย การให้บริการอินเตอร์เน็ต,596/142 หมู่บ้านอารียา ทูบี ถนนลาดปลาเค้า  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230
35,0105558084803,บจ.แอลแอนด์ดี ดีเวลลอปเม้นท์ (ไทยแลนด์) จำกัด,22/5/2558," 10,000,000 ",ประกอบกิจการซื้อ ขาย ที่ดิน บ้าน อสังหาริมทรัพย์ เพื่อพัฒนาหรือขายต่อ,248/9 ซอยลาดพร้าว 93 (โชคชัย 3) ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
36,0105558085818,บจ.ซิค (ประเทศไทย) จำกัด,25/5/2558," 10,000,000 ",การนำเข้าเพื่อค้าส่งภายในประเทศ ซึ่งเครื่องจักร เครื่องกล เครื่องมือ และอุปกรณ์,100/18 อาคารว่องวานิช ตึก บี ชั้นที่ 12เอ ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
37,0105558078790,บจ.เอชดับบลิว โซลาร์ โฮลดิ้งส์ จำกัด,12/5/2558," 10,000,000 ",ผลิตไฟฟ้าจากพลังงานลม แสงอาทิตย์ หรือพลังงานอื่นทุกชนิดและวัสดุอุปกรณ์เกี่ยวกับไฟฟ้าทุกชนิด,87 อาคารเอ็มไทยทาวเวอร์ ออลซีซั่นเพลส ชั้นที่ 5 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
38,0105558088931,บจ.ทู ไทเกอร์ พร็อพ จำกัด,29/5/2558," 10,000,000 ",เป็นเจ้าของบริหารจัดการดำเนินการอสังหาริมทรัพย์ซึ่งรวมถึงคลังสินค้าโรงงานสำนักงานและทรัพย์สินให้เช่า,999/9 อาคารดิออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้น 29 ห้องเลขที่ 2983อาร์ ถนนพระรามที่ 1  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330
39,0105558081162,บจ.อินฟินิติ โกลบอล อินเวสเตอร์ จำกัด,18/5/2558," 10,000,000 ",ประกอบกิจการให้คำปรึกษาด้านการเงินการลงทุน,56 อาคารญาดา ห้อง 509 ชั้นที่ 5 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
40,0105558085427,บจ.แพลนเนทพาวเวอร์กรุ๊ป จำกัด,25/5/2558," 10,000,000 ",ประกอบธุรกิจผลิตพลังงานไฟฟ้าด้วยระบบพลังงานแสงอาทิตย์ ระบบพลังงานน้ำ คลื่นในทะเลหรือมหาสมุทร,152 อาคารชาร์เตอร์สแควร์ ห้องเลขที่ 12-05เอ ชั้นที่ 12 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
41,0105558085109,บจ.เอซีออโต้เซอร์วิส จำกัด,22/5/2558," 10,000,000 ",ซื้อ จำหน่าย จัดหา อะไหล่และอุปกรณ์ซ่อมบำรุงยานยนต์ และให้บริการซ่อมบำรุงยานยนต์ทุกชนิด,21/1 ซอยพหลโยธิน 34 ถนนพหลโยธิน  แขวงเสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900
42,0105558085796,บจ.เวิร์ล สปอร์ต กรุ๊ป จำกัด,25/5/2558," 10,000,000 ",ประกอบกิจการกิจกรรมของบริษัทโฆษณา,222/151-154 ซอยวิภาวดีรังสิต 17  แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900
43,0105558087039,บจ.ปตท.สผ. ศูนย์บริหารเงิน จำกัด,27/5/2558," 10,000,000 ",เข้าถือหุ้นในบริษัทจำกัด และหรือบริษัทมหาชน,"555/1 ศูนย์เอนเนอร์ยี่ คอมเพล็กซ์ อาคารเอ ชั้นที่ 6,19-36 ถนนวิภาวดีรังสิต  แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900"
44,0105558078404,บจ.ซัลบิง (ไทยแลนด์) จำกัด,12/5/2558," 8,000,000 ",จำหน่าย นำเข้า อุปกรณ์ เครื่องมือ เครื่องจักร เครื่องอุปโภค บริโภค อาหาร เครื่องดื่ม วัตถุดิบฯ,"8/8 เดอะ ฮอไรซอน ชั้น 15 ห้องเลขที่ 1501-1505, 1605 ซอยสุขุมวิท 63 (เอกมัย)  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110"
45,0105558077203,บจ.ไชน่า ปิโตรเลียม ไปป์ไลน์ บูโร (ประเทศไทย) จำกัด,8/5/2558," 8,000,000 ",ประกอบกิจการให้คำปรึกษา สำรวจ รับเหมาก่อสร้าง ดำเนินการเกี่ยวกับถังน้ำมันดิบ ถังน้ำมันสำเร็จรูป แก๊ส,"3300/41,44 ชั้น 28 อาคารเอ ตึกช้าง ถนนพหลโยธิน  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900"
46,0105558079991,บจ.เอ็มเออี มาร์เก็ตติ้ง (ไทย) จำกัด,15/5/2558," 7,000,000 ",ซื้อขาย นำเข้าส่งออก เครื่องสำอาง ผลิตภัณฑ์อาหารเสริมรวมถึงอุปกรณ์เครื่องมือเครื่องใช้เสริมความงาม,1597 หมู่บ้านศุภาลัย วิลล์ ถนนลาซาล  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260
47,0105558086792,บจ.ซุนด์ เอเชีย (บางกอก) จำกัด,27/5/2558," 6,000,000 ",ประกอบกิจการ ค้าปลีก ค้าส่ง สินค้าทุกประเภท,571 อาคารอาร์เอสยูทาวเวอร์ ชั้นที่ 10 ซอยสุขุมวิท 31 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
48,0105558074263,บจ.กรีน เทค เอนเนอร์ยี จำกัด,1/5/2558," 6,000,000 ",ประกอบกิจการ ผลิตและจำหน่ายกระแสไฟฟ้าจากไอน้ำ,45/8-9 ถนนเศรษฐศิริ  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
49,0105558077653,บจ.เดอะ คิดส์ คอมพานี จำกัด,11/5/2558," 5,000,000 ",ประกอบกิจการร้านอาหาร จำหน่ายสินค้าอุปโภคและบริโภค เช่น อาหาร เครื่องดื่ม,622 อาคารเอ็มโพเรียมทาวเวอร์ ชั้นที่ 3 ถนนสุขุมวิท  แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110
50,0105558077971,บจ.ก๊อดซิลล่าร์ เพาเวอร์ จำกัด,11/5/2558," 5,000,000 ",ประกอบกิจการ ผลิต จำหน่าย และการส่งพลังงานไฟฟ้า พลังงานไฟฟ้าจากแสงอาทิตย์,9 ซอยเลื่อนอรณพ 23 ถนนสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
51,0105558078862,บจ.นาคา เพาเวอร์ จำกัด,14/5/2558," 5,000,000 ",ประกอบกิจการ ผลิต จำหน่าย และการส่งพลังงานไฟฟ้า พลังงานไฟฟ้าจากแสงอาทิตย์,9 ซอยเลื่อนอรณพ 23 ถนนสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
52,0105558078871,บจ.อัลติเมท เพาเวอร์ เอ็นเนอร์จี จำกัด,14/5/2558," 5,000,000 ",ประกอบกิจการ ผลิต จำหน่าย และส่งพลังงานไฟฟ้า พลังงานไฟฟ้าจากแสงอาทิตย์,9 ซอยเลื่อนอรณพ 23 ถนนสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
53,0105558080778,บจ.ลาซาด้า เอ็กซ์เพรส จำกัด,15/5/2558," 5,000,000 ",ขนส่งและขนถ่ายสินค้า และคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ทั้งภายในประเทศและระหว่างประเทศ,140 อาคารวัน แปซิฟิค เพลส ชั้น 8 ห้องเลขที่ 801 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
54,0105558087004,บจ.อลินดา เอสเธททิคซ์ จำกัด,27/5/2558," 5,000,000 ",ประกอบกิจการด้านคลีนิคเวชกรรม,865-867 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตคลองเตย กรุงเทพมหานคร 10110
55,0105558087969,บจ.เลเจนดารี่ มอเตอร์ จำกัด,28/5/2558," 5,000,000 ",นำเข้า จำหน่ายรถยนต์ และรถมอเตอร์ไซต์ รวมทั้งอะไหล่รถ อุปกรณ์รถ สินค้าต่างๆ ที่เกี่ยวกับรถ,17 ซอยสุขุมวิท 1 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
56,0105558075219,บจ.ดีไซน์แอนด์โปรโตไทป์ จำกัด,6/5/2558," 5,000,000 ",ประกอบกิจการจำหน่าย ผลิต พัฒนาวิจัย ออกแบบผลิตภัณฑ์และสร้างผลิตภัณฑ์เครื่องจักรกล เครื่องกำเนิดไฟฟ้า,249 ถนนนิมิตใหม่  แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10120
57,0105558083386,บจ.คอนเนกซ์ อินทิเกรททิด โลจิสติกส์ จำกัด,20/5/2558," 5,000,000 ",ประกอบกิจการให้บริการ จัดการ การขนส่งสินค้าโลจิสติกส์,1011 อาคารศุภาลัย แกรนด์ ทาวเวอร์ ชั้น 7 ยูนิตเลขที่ 02 ถนนพระราม 3  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
58,0105558084251,บจ.โคลัมบัส ชิปปิ้ง จำกัด,21/5/2558," 5,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า,149/2 ถนนนนทรี  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
59,0105558085249,บจ.จีแอนด์จี นิวซีแลนด์สกินแคร์ จำกัด,22/5/2558," 5,000,000 ",ขายเครื่องสำอาง ครีมบำรุง รวมถึงผลิตภัณฑ์อื่นๆ,276/81 อาคารA คอนโดรีสอร์ทต้า-เย็นอากาศ ชั้นที่ 7 ซอยพระรามที่ 3 ซอย 77  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
60,0105558088191,บจ.แบงค็อก ไรเดอร์ จำกัด,28/5/2558," 5,000,000 ",ประกอบกิจการค้ารถยนต์ รถจักรยานยนต์  ทั้งใหม่และใช้แล้ว รวมทั้งเครื่องยนต์ ชิ้นส่วน อะไหล่และอุปกรณ์,950/140 อาคารรอยัลริเวอร์เพลส ชั้นที่ 2 ถนนพระราม 3  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120
61,0105558088205,บจ.อีสเทิร์น ไทย ไรเดอร์ จำกัด,28/5/2558," 5,000,000 ",ค้ารถยนต์ รถจักรยานยนต์ ทั้งประเภทที่ผลิตใหม่และประเภทที่ใช้แล้ว เครื่องยนต์ ชิ้นส่วน,950/140 อาคารรอยัลริเวอร์เพลส ชั้น 2 ถนนพระราม 3  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120
62,0105558079061,บจ.โอเค โมบาย จำกัด,14/5/2558," 5,000,000 ",จำหน่ายโทรศัพท์มือถือ,204/166 หมู่บ้านสินทวี ท่าข้าม 4 ซอยอนามัยงามเจริญ 31  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
63,0105558080239,บจ.จิตรระเทพ จำกัด,15/5/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง ทุกชนิด,21 ซอยเอกชัย 69  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
64,0105558081103,บจ.เอส.พี.พี.ทวินแรบบิท จำกัด,18/5/2558," 5,000,000 ",ประกอบกิจการผลิตและจำหน่ายสายยางรัดสินค้า,48 ถนนพุทธบูชา  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150
65,0105558082096,บจ.ไพร์มเกท เรียลตี้ จำกัด,19/5/2558," 5,000,000 ",ประกอบธุรกิจเกี่ยวกับอสังหาริมทรัพย์ก่อสร้างงานประมูลราชการและเอกชน,"31,33,35 ซอยพระรามที่ 2 ซอย 52 ถนนพระราม 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150"
66,0105558087063,บจ.เอ็มบีเอส 2 จำกัด,27/5/2558," 5,000,000 ",สถานีบริการน้ำมัน,134 ถนนพระรามที่ 2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
67,0105558075987,บจ.ไอบีเอ โกลเบิล พีทีวาย จำกัด,7/5/2558," 5,000,000 ",ประกอบกิจการให้บริการรับจองตั๋วโดยสารเครื่องบิน รถบัสโดยสาร และจองห้องพัก,30 ซอยเพชรเกษม 58 แยก 16  แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160
68,0105558076169,บจ.ย้งเสียงฮวด จำกัด,7/5/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,16 ซอยเพชรเกษม 54 แยก 2 ถนนเพชรเกษม  แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160
69,0105558080867,บจ.พรีมาเดิร์มเฮ้าส์ จำกัด,18/5/2558," 5,000,000 ",การขายส่งสินค้าทางเภสัชภัณฑ์ และทางการแพทย์เครื่องหอมและเครื่องสำอาง,491/6 หมู่บ้านฮาบิเทีย พุทธมณฑลสาย 2 ถนนบางแวก  แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160
70,0105558084625,บจ.เอฟ.เอ.นิวทริชั่น จำกัด,22/5/2558," 5,000,000 ",ประกอบกิจการโรงงานผลิต รับจ้างผลิต อาหารและอาหารเสริมทุกชนิด,132/11 หมู่ที่ 15 ซอยเพชรเกษม 48 ถนนเพชรเกษม  แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160
71,0105558077394,บจ.ออโต้ แกลเลอรี่ ทวีวัฒนา จำกัด,11/5/2558," 5,000,000 ",การขายยานยนต์ใหม่ชนิดรถยนต์นั่งส่วนบุคคล,68/9 หมู่ที่ 12 ถนนบรมราชชนนี  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170
72,0105558077751,บจ.ที่ดิน เจริญทรัพย์ จำกัด,11/5/2558," 5,000,000 ",ดำเนินกิจการเกี่ยวกับการลงทุนในอสังหาริมทรัพย์,245/3 ซอยกาญจนาภิเษก 0015  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170
