นิติบุคคลจัดตั้งเดือนสิงหาคม  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
11,0105558127430,บจ.อินเตอร์ ฟาร์อีสท์ เทรดดิ้ง จำกัด,6/8/2558," 100,000,000 ",ตัวแทนจำหน่ายและประมูลเครื่องจักร,33/4 อาคารเดอะไนน์ ทาวเวอร์ ชั้นที่ 29 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
12,0105558129203,บจ.บางกอก ทร็อคคาเดโร จำกัด,10/8/2558," 100,000,000 ",ประกอบกิจการโรงแรม,5/18 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
13,0105558127855,บจ.จี เอส วี พี กรุ๊ป จำกัด,7/8/2558," 100,000,000 ",ประกอบกิจการซื้อ จัดหา รับ เช่า เช่าซื้อ ถือกรรมสิทธิ์ ครอบครอง ปรับปรุง จัดสรรที่ดิน เป็นนายหน้า,35 ซอยอารีย์สัมพันธ์ 10 ถนนพระราม 6  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,,
14,0105558128363,บจ.เค แอนด์ ที เวลธ์ แมเนจเม้นท์ จำกัด,7/8/2558," 98,333,800 ",ประกอบกิจการเพื่อลงทุนในบริษัทอื่น,246/31 ถนนแฉล้มนิมิตร  แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,,
15,0107558000351,บมจ.ซัคเซ็ส เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด (มหาชน),25/8/2558," 90,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย,22 ซอยรามอินทรา 4 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
16,0105558138814,บจ.มาลาคี โฮลดิ้ง จำกัด,26/8/2558," 80,000,000 ",ประกอบกิจการลงทุนในบริษัทต่างๆ ทั้งในประเทศและต่างประเทศ,22 ซอยพหลโยธิน 31 ถนนพหลโยธิน  แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,,
17,0105558141262,บจ.อิงกู (ไทยแลนด์) จำกัด,31/8/2558," 50,000,000 ",ประกิจการ พัฒนาและให้บริการศึกษาโดยผ่านอินเตอร์เน็ต,246 อาคารไทมส์ สแควร์ ชั้นที่ 15 ห้องเลขที่ 15-01 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
18,0105558130554,บจ.หะรินธารา จำกัด,13/8/2558," 50,000,000 ",ประกอบกิจการต่อเรือ ซ่อมเรือ จอดเรือทุกชนิด,38 ถนนมไหสวรรย์(ฝั่งขวา)  แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120,,
19,0105558133014,บจ.วี โอ เค โฮลดิ้ง จำกัด,18/8/2558," 49,164,700 ",ประกอบกิจการ เพื่อการลงทุนในบริษัทอื่น,99/143 ซอยงามวงศ์วาน 44 ถนนงามวงศ์วาน  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
20,0105558126581,บจ.ไทย อินเตอร์เนชั่นแนล โลจิสติกส์ จำกัด,5/8/2558," 40,000,000 ",ประกอบกิจการท่าเรือ ท่าเทียบเรือ โรงพักสินค้า(อันมิใช่กิจการคลังสินค้า)สำหรับตู้คอนเทนเนอร์,606 ถนนหลวง  แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,,
21,0105558132034,บจ.คลาวด์ เคียว เทคโนโลยี จำกัด,17/8/2558," 40,000,000 ",ประกอบกิจการออกแบบและพัฒนาซอฟแวร์และบริการอื่นๆที่เกี่ยวข้อง,121/107 อาคารอาร์เอส ทาวเวอร์ ชั้นที่ 40 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
22,0105558131160,บจ.ซี. แอนด์ พี. ลอจิสติกส์ จำกัด,14/8/2558," 35,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า รวมถึงคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศทั้งในและต่างประเทศ,153 ซอยสุขุมวิท 39(พร้อมพงษ์) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
23,0105558136986,บจ. ฮีดากา เวสต์ แมนเนจเมนท์ จำกัด,24/8/2558," 30,000,000 ",รับเก็บรวบรวมของเสียการบำบัดและการกำจัดของเสีย การนำของเสียกลับมาใช้ใหม่,27 อาคารฮีดากา ชั้นที่ 2 ซอยบางนา-ตราด 25 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,,
24,0105558131674,บจ.แซงค์ชัวรี่ กรุ๊ป จำกัด,14/8/2558," 30,000,000 ",ประกอบกิจการโรงแรม,1213/37 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
25,0105558129262,บจ.วิทูร อินเตอร์ อิมเป็กซ์ จำกัด,10/8/2558," 25,000,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์คลับ,36 ซอยเซ็นต์หลุยส์ 2 ถนนสาทรใต้  แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,,
26,0105558134886,บจ.ฟ้าสมุทร วิว จำกัด,20/8/2558," 20,000,000 ",ประกอบกิจการซื้อขายอสังหาริมทรัพย์ที่เป็นของตนเองเพื่อการพักอาศัย,465 ถนนพระรามที่ 2  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150,,
27,0105558132565,บจ.ตะวันบีช พร็อพเพอร์ตี้ จำกัด,17/8/2558," 20,000,000 ",ซื้อ ขาย อสังหาริมทรัพย์,211/42 ซอยเฉลิมพระเกียรติ ร. 9ซอย 28 แยก 3-1  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,,
28,0105558127529,บจ.ลัสเตอร์ สไมล์ จำกัด,6/8/2558," 20,000,000 ",ประกอบกิจการเหมืองแร่ โรงงานถลุงแร่ แยกแร่ แปรสภาพแร่ หลอมแร่ แต่งแร่ สำรวจแร่,22 ซอยพึ่งมี 28 ถนนสุขุมวิท  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,,
29,0105558131208,บจ.มารูเบนิ พาวเวอร์ ซิสเท็มส์ (ประเทศไทย) จำกัด,14/8/2558," 20,000,000 ",ดำเนินกิจการของสำนักงานใหญ่ข้ามประเทศ,130-132 อาคารสินธรทาวเวอร์ 1 ชั้นที่ 3 ห้องเลขที่ 3 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
30,0105558136536,บจ.อี-ไดเรค (ไทยแลนด์) จำกัด,21/8/2558," 15,000,000 ",ให้เช่าพื้นที่เว็บไซต์ในการดำเนินการและเป็นช่องทางการตลาดทางธุรกิจทุกประเภท,88/39 ซอยบรมราชชนนี 62/4  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
31,0105558132549,บจ.พรีเมี่ยม วิสต้า พร็อพเพอร์ตี้ จำกัด,17/8/2558," 15,000,000 ",ซื้อและขายอสังหาริมทรัพย์,211/42 ซอยเฉลิมพระเกียรติ ร.๙ ซอย28แยก3-1  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,,
32,0105558132557,บจ.แคชชัวรีน่าบีช พร็อพเพอร์ตี้ จำกัด,17/8/2558," 15,000,000 ",ซื้อ ขาย อสังหาริมทรัพย์,211/42 ซอยเฉลิมพระเกียรติ ร.9 ซอย 28 แยก 3-1  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,,
33,0105558136609,บจ.ไทยทัน ดริลลิ่ง จำกัด,21/8/2558," 15,000,000 ",ประกอบกิจการรับเหมาและขุดเจาะวางท่อ,126 ซอยพัฒนาการ 63  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,,
34,0105558138334,บจ.ดินแดน (1969) จำกัด,26/8/2558," 15,000,000 ","การให้เช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์
ที่เป็นของตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เพื่อเป็น",36/6 ซอยรามคำแหง 21 (นวศรี)  แขวงพลับพลา        เขตวังทองหลาง กรุงเทพมหานคร 10310,,
35,0105558141106,บจ.ธรรมสาละ จำกัด,31/8/2558," 15,000,000 ",บริการจัดการสถานที่ พื้นที่ให้เช่า ที่พัก โรงแรม รีสอร์ท ให้เช่าสถานที่ ให้เช่าช่วง,395/5 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
36,0105558129416,บจ.อินไซท์เอรา จำกัด,10/8/2558," 12,500,000 ",รับบริการด้านให้คำปรึกษา ในการออกแบบระบบคอมพิวเตอร์และระบบเครือข่าย,"110/1 อาคารศูนย์นวัตกรรมการเรียนรู้เพื่อการออก
แบบและเทคโนโลยี ชั้นที่ 14 ถนนกรุงธนบุรี แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600",,
37,0105558133081,บจ.เอสเคเอ็น โฮลดิ้งส์ จำกัด,18/8/2558," 12,000,000 ",ประกอบกิจการลงทุนในหุ้นของนิติบุคคลต่างๆเพื่อสร้างมูลค่าเพิ่มให้แก่บริษัท(บริษัทโฮลดิ้ง),3395/39 ถนนพระราม 9  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
38,0105558126026,บจ.ณวรางค์ แอสเซท จำกัด,4/8/2558," 12,000,000 ",การสร้าง ขาย ดำเนินงานด้านอสังหาริมทรัพย์,31 อาคารเดอะปอร์ติโก ชั้น 3 ห้องเลขที่ 301 ซอยหลังสวน  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
39,0105558125950,บจ.คันโต เมนเทนแนนซ์ เอเชีย จำกัด,4/8/2558," 10,000,000 ",บริการซ่อมแซม บำรุงรักษา ระบบไฟฟ้าขนส่งมวลชน,52/20 ชั้น2 ซอยสุขุมวิท3(นานาเหนือ) ถนนสุขุมวิท3  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
40,0105558131496,บจ.แฮปปี้สต๊อค จำกัด,14/8/2558," 10,000,000 ",ประกอบกิจการซอฟต์แวร์,36/71 อาคารพี.เอส.ทาวเวอร์ ชั้นที่ 21 ถนนสุขุมวิท 21(อโศก)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
41,0105558136706,บจ.แคท อินโนเวชั่น จำกัด,24/8/2558," 10,000,000 ",ประกอบกิจการซื้อมาขายไป สินค้าทุกชนิดตามที่กำหนดไว้ในวัตถุประสงค์,61/6 ซอยสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
42,0105558139462,บจ.แจ๊สซี่ บลู แอท 39 จำกัด,27/8/2558," 10,000,000 ",ประกอบกิจการธุกิจร้านอาหาร,59/3 ซอยสุขุมวิท39(พร้อมพงษ์) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
43,0105558130121,บจ.ยูนิค แวร์ (1986) จำกัด,11/8/2558," 10,000,000 ",ประกอบกิจการผลิต จำหน่าย นำเข้าส่งออกเสื้อผ้าสำเร็จรูปทุกชนิด,227 ซอยโชคชัยจงจำเริญ  แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120,,
44,0105558138407,บจ.คชกาล จำกัด,26/8/2558," 10,000,000 ",ประกอบกิจการนำเข้า ส่งออก เพชร พลอย ทอง,55 ถนนยานนาวา  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
45,0105558136340,บจ.ยู โซล่าร์ จำกัด,21/8/2558," 10,000,000 ",ประกอบกิจการก่อสร้างโรงงานผลิตกระแสไฟฟ้า การผลิตและจำหน่ายกระแสไฟฟ้า การส่งพลังงานไฟฟ้ารวมถึงการผลิต,33/4 อาคารเดอะไนน์ ทาวเวอร์ ชั้นที่ 29 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
46,0105558136374,บจ.ยู รีนิวเอเบิ้ล จำกัด,21/8/2558," 10,000,000 ",ประกอบกิจการก่อสร้างโรงงานผลิตกระแสไฟฟ้า การผลิตและจำหน่ายกระแสไฟฟ้าการส่งพลังงานไฟฟ้ารวมถึงการผลิต,33/4 อาคารเดอะไนน์ ทาวเวอร์ ชั้นที่ 29 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
47,0105558136960,บจ.ซีเฟรชไอเอชคิว จำกัด,24/8/2558," 10,000,000 ",ประกอบกิจการสำนักงานใหญ่ข้ามประเทศ หรือสำนักงานปฏิบัติการภูมิภาค หรือศูนย์บริหารการเงิน,152/25 อาคารชาร์เตอร์สแควร์ ชั้นที่ 31 ถนนสาทรเหนือ  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,,
48,0105558126948,บจ.ไฮ ช็อปปิ้ง ทีวี จำกัด,5/8/2558," 10,000,000 ",การขายปลีกโดยการรับสั่งสินค้าทางไปรษณีย์โทรทัศน์ วิทยุ และโทรศัพท์,349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้นที่ 29 ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
49,0105558134592,บจ.เอเนอร์ยี่ แมนเนจเม้นท์ โฮลดิ้ง จำกัด,19/8/2558," 10,000,000 ",ประกอบกิจการผลิตกระแสไฟฟ้าเพื่อใช้ในกิจการ จำหน่าย หรื่อส่งเข้าสู่ระบบโครงข่ายไฟฟ้า,83 ซอยซอยลาดพร้าว 15  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
50,0105558130970,บจ.คาวาโน่ เวสต์ จำกัด,13/8/2558," 6,000,000 ",ธุรกิจอาหารญี่ปุ่น,9/2-3 ซอยสุขุมวิท 33 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
51,0105558137788,บจ.แฮ็กแท็ก(ประเทศไทย) จำกัด,25/8/2558," 6,000,000 ",ประกอบกิจการพัฒนา ให้เช่า จำหน่ายซอฟต์แวร์ โปรแกรมคอมพิวเตอร์ ทุกชนิด,74/2 ซอยนวลน้อย  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
52,0105558136919,บจ.เรสทัวรองท์ แอท คอร์ทยาร์ด จำกัด,24/8/2558," 6,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดชอบในห้างหุ้นส่วนจำกัด เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,289 อาคารบี ชั้น 3 ถนนสุรวงศ์  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,,
53,0105558125160,บจ.ทองธารา รีเทล จำกัด,3/8/2558," 5,000,000 ",ประกอบกิจการซื้อ ขาย เครื่องประดับที่ทำจากเงิน ทอง นาก เพชร พลอย และอัญมณีอื่น,348-352 ชั้นที่ 4 ถนนบริพัตร  แขวงบ้านบาตร เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,,
54,0105558129858,บจ.ฟอร์ทูน่า แอสเส็ท จำกัด,11/8/2558," 5,000,000 ",ประกอบกิจการบริการสินเชื่อแก่บุคคลธรรมดา,24-26 ถนนลำพูนไชย  แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,,
55,0105558125020,บจ.เจเอสเจ เรสทัวรองท์ จำกัด,3/8/2558," 5,000,000 ",ร้านอาหารญี่ปุ่น จำหน่ายอาหารญี่ปุ่น ไอศครีม เบเกอรี่ ขนมต่างๆ,39/1 ซอยสุขุมวิท 23  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
56,0105558125194,บจ.ปากช่อง แอท 5 จำกัด,3/8/2558," 5,000,000 ",ประกอบกิจการให้เช่าห้องพัก อาคารที่พักอาศัย และให้เช่าเฟอร์นิเจอร์ทุกชนิด,23/3 ซอยสุขุมวิท 10  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
57,0105558125313,บจ.รอยัล สกาย ดีเวลลอปเมนท์ จำกัด,3/8/2558," 5,000,000 ",ประกอบกิจการซื้อ ขาย โอน รับโอนหรือจัดสรรที่ดิน,29/8 ซอยเจริญมิตร ถนนสุขุมวิท 63  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
58,0105558127791,บจ.ตังเต จำกัด,6/8/2558," 5,000,000 ",ประกอบกิจการร้านอาหาร/ภัตตาคาร,916/10 ซอยสุขุมวิท 55 (ทองหล่อ) ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
59,0105558129131,บจ.จีเวล คลินิค จำกัด,10/8/2558," 5,000,000 ",ประกอบกิจการสถานพยาบาลประเภทคลินิกเวชกรรมที่ไม่รับผู้ป่วยไว้ค้างคืน รับรักษาโรคทั่วไป,313 ซอยสุขุมวิท 55 (ทองหล่อ)  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
60,0105558133413,บจ.เซเว่น เดย์ ไอน์ซไตน์ จำกัด,18/8/2558," 5,000,000 ",ให้บริการให้คำปรึกษาแนะนำชาวต่างชาติในการพำนักอยู่ในประเทศไทย,1112/38 ถนนสุขุมวิท  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
61,0105558136188,บจ.โกลบอล โฮลดิ้ง จำกัด,21/8/2558," 5,000,000 ",ประกอบกิจการซื้อขาย ให้เช่า อสังหาริมทรัพย์,27/3 ซอยพร้อมพรรค ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
62,0105558138211,บจ.แอพอินสไพร์ จำกัด,26/8/2558," 5,000,000 ",ให้บริการประชาสัมพันธ์สื่อออนไลน์ โทรทัศน์ วิทยุ สิ่งพิมพ์ และสื่อต่างๆผลิตสื่อโฆษณาประชาสัมพันธ์,94 ซอยสุขุมวิท 23 (ประสานมิตร)  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
63,0105558139446,บจ.เนม แอนด์ นาม จำกัด,27/8/2558," 5,000,000 ",ประกอบกิจการโรงแรมและร้านอาหาร,457 ซอยสุขุมวิท 55 (ทองหล่อ) ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,,
64,0105558141394,บจ.ศักยะ ดีเวลลอปเมนท์ จำกัด,31/8/2558," 5,000,000 ",ประกอบกิจการ โอน ซื้อ ขาย จำนอง ซึ่งอสังหาริมทรัพย์ อสังหาริมทรัพย์ ตลอดจนดอกผลของทรัพย์สิน,3675 ถนนพระราม 4  แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,,
65,0105558134142,บจ.ฟาร์มาซูติคอลส์แอนด์เมดิคอลซัพพลาย จำกัด,19/8/2558," 5,000,000 ",ทำการค้ายา รักษา และป้องกันโรค เครื่องเวชภัณฑ์ เคมีภัณฑ์ เครื่องสำอางค์,"551/32,33,34,35,36,37,38,39 ซอยสรรค์สุข ถนนสาธุประดิษฐ์  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120",,
66,0105558136510,บจ.วิคเตอร์ ริชเชอร์ ทรานส์ จำกัด,21/8/2558," 5,000,000 ",การขนส่งต่อเนื่องหลายรูปแบบ,216/69 อาคารแอล.พี.เอ็น.ทาวเวอร์ ชั้นที่ 16 ซี ถนนนางลิ้นจี่  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,,
67,0105558130660,บจ.มาซากิ จำกัด,13/8/2558," 5,000,000 ",จัดจำหน่ายเครื่องมืออุตสาหกรรม เครื่องมือช่างและอุปกรณ์ฮาร์ดแวร์ทุกชนิดใรโรงงานในและนอกประเทศ,323/51 ซอยประชาอุทิศ 69  แขวงบางมด เขตทุ่งครุ กรุงเทพมหานคร 10140,,
68,0105558125348,บจ.เกาลูน บิลดิ้ง (ไทยแลนด์) จำกัด,3/8/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,625/22 ถนนอนามัยงามเจริญ  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
69,0105558125402,บจ.ไชน่า เอ็มซีซีไฟว์ คอนสตรัคชั่น (ไทยแลนด์) จำกัด,3/8/2558," 5,000,000 ",ประกอบกิจการ รับเหมาก่อสร้าง,625/22 ถนนอนามัยงามเจริญ  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
70,0105558126921,บจ.วฐจ  จำกัด,5/8/2558," 5,000,000 ",ประกอบกิจการค้าที่ดิน และที่ดินพร้อมสิ่งปลูกสร้าง โดยวิธีการจัดสรรเป็นแปลงย่อย หรืออพาร์ทเม้นท์,99/471 หมู่บ้านบ้านกลางเมืองสาทร ตากสิน2 ซอยสวนหลวง  แขวงบางค้อ เขตจอมทอง กรุงเทพมหานคร 10150,,
71,0105558127171,บจ.ซี.ที. แมททีเรียล จำกัด,6/8/2558," 5,000,000 ",ประกอบกิจการค้าปลีก ค้าส่ง วัสดุก่อสร้าง อุปกรณ์ก่อสร้างทุกชนิด,"873,875,877 ถนนเอกชัย  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150",,
72,0105558128851,บจ.เดอะ ซันซิตี้ จำกัด,10/8/2558," 5,000,000 ","ประกอบกิจการปลูกสร้าง อาคาร บ้าน โรงเรียน
อาคารชุด ห้องชุด อาคารสงเคราะห์ แฟลตเพื่อจำหน่าย ให้เช่า","20 ซอยอนามัยงามเจริญ 33  แขวงท่าข้าม เขตบาง
ขุนเทียน กรุงเทพมหานคร 10150",,
73,0105558129114,บจ.พ็อพ แอนด์ เพลย์ จำกัด,10/8/2558," 5,000,000 ",ให้บริการสถานรับเลี้ยงเด็ก ดูแบเด็กอ่อน เด็กก่อนวัยเรียน พัฒนาด้านร่างกาย,468/181 ถนนอนามัยงามเจริญ  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
74,0105558129173,บจ.จรูญวิทย์ ดีเวลลอปเม้นท์ จำกัด,10/8/2558," 5,000,000 ",ประกอบกิจการซื้อ ขาย ให้เช่าอสังหาริมทรัพย์ ปลูกสร้าง อาคาร บ้าน โรงเรือน อาคารชุด ห้องชุด,230 ถนนบางขุนเทียน-ชายทะเล  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
75,0105558131887,บจ.เวิลด์คลาส สปอร์ต ทริป จำกัด,17/8/2558," 5,000,000 ",กิจการเป็นตัวแทนจำหน่ายตั๋วเครื่องบิน จัดหา รถ เรือและยานพาหนะอื่นๆเพื่อให้เช่า จองห้องพัก,279/88 หมู่บ้านอรุณทอง สาย 1 ซอยเพชรเกษม 68  แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,,
